station,Climate Zone
Tokar,Hyper-Arid
Shambat,Hyper-Arid
Dongola,Hyper-Arid
Abu Hamed,Hyper-Arid
Port Sudan,Hyper-Arid
Karima,Hyper-Arid
Atbara,Hyper-Arid
Shendi,Hyper-Arid
Khartoum,Hyper-Arid
New Halfa,Arid
Kassala,Arid
Wad Medani,Arid
Ed Dueim,Arid
El Fasher,Arid
En Nahud,Arid
El Obeid,Arid
Kosti,Arid
El Gedaref,Semi-Arid
Sennar,Arid
El Geneina,Semi-Arid
Abu Na'ama,Semi-Arid
Nyala,Arid
Rashad,Semi-Arid
Er Renk,Semi-Arid
Ed Damazin,Semi-Arid
Baba Nousa,Semi-Arid
Kadugli,Semi-Arid
Malakal,Semi-Arid
Umm Benin,Semi-Arid
Raga,Dry Sub-Humid
Juba,Sub-Humid
Wau,Dry Sub-Humid
