Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,2.7,0,0,1,1,1,0,0,0,1
1984,0,0,0,0,0,0,0,0,0,0
1985,0.4,0,0,1,1,0,0,0,0,1
1986,7.8,0,0,2,2,2,0,0,0,2
1987,11.7,0,0,2,1,1,1,0,0,2
1988,2.7,0,0,4,4,2,0,0,1,2
1989,7.2,0,0,5,5,2,0,0,0.4,2
1990,0,0,0,0,0,0,0,0,0,0
1991,3.8,0,0,5,5,1,0,0,0.4,2
1992,7,0,0,2,2,2,0,0,0,2
1993,1.1,0,0,2,2,1,0,0,0,2
1994,8,0,0,4,4,3,0,0,2.23,3
1995,1,0,0,1,1,0,0,0,0,1
1996,0,0,0,0,0,0,0,0,0,0
1997,3.5,0,0,1,1,1,0,0,0,1
1998,1.4,0,0,2,2,1,0,0,0,2
1999,15.3,0,0,7,7,7,1,0,2.678,3
2000,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0
2002,37,1,0,1,1,1,1,1,0,1
2003,0.4,0,0,1,1,0,0,0,0,1
2004,0,0,0,0,0,0,0,0,0,0
2005,2.2,0,0,1,1,1,0,0,0,1
2006,12,0,0,2,2,2,1,0,0,2
2007,14,0,0,7,7,5,2,0,5.938,3
2008,7,0,0,3,3,3,0,0,0.66,3
2009,10,0,0,1,1,1,0,0,0,1
2010,7,0,0,5,5,5,0,0,3.068,3
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,10.1,0,0,3,3,2,1,0,0.17,3
2014,4.2,0,0,3,3,3,0,0,0.574,3
