Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,34.9,1,3.15,10,23,15,5,2,23.99,2
1984,71.3,1,5.45,10,28,20,5,2,28.79,2
1985,50.3,4,10,10,29,23,10,6,40.18,2
1986,55,1,5.8,10,26,21,7,3,22.71,2
1987,87,2,16.6,10,37,32,11,8,39.6,2
1988,78,4,9.84,10,37,32,10,6,70.76,2
1989,66,3,14.75,10,37,32,15,5,44.48,2
1990,48,3,7,10,22,17,8,5,43.54,2
1991,52,2,7.1,10,37,32,7,4,34.52,2
1992,29.3,0,6.355,10,28,21,7,2,20.356,2
1993,124,5,18.15,7,19,17,9,6,101.2,1
1994,40,3,11.775,8,24,21,9,6,36.625,1
1995,64,3,10.7,10,31,26,11,5,41.17,2
1996,57.2,2,13,9,26,23,13,4,30.367,2
1997,95.4,5,8.4,10,30,26,10,5,91.53,2
1998,56.1,5,11.75,10,40,32,13,5,48.81,2
1999,87.3,4,10.2,9,34,28,11,5,45.98,2
2000,60,3,14.5,10,33,26,16,6,50.32,2
2001,32.9,1,9.85,10,37,32,10,4,29.42,2
2002,31.6,2,8.595,10,29,26,8,4,30.11,2
2003,75,1,7.15,10,29,24,8,5,29.5,2
2004,80,1,8.1,10,35,29,8,5,26,1
2005,59.2,3,9.335,10,27,23,9,4,56.995,2
2006,41.6,3,7.715,10,27,23,8,6,36.829,2
2007,53,3,7.325,10,28,22,9,5,40.785,2
2008,43,8,22,10,37,35,16,11,37.6,2
2009,103,1,4,8,23,15,7,3,29,1
2010,44.7,5,13.4,10,35,28,12,8,39.96,2
2011,48.3,2,4.9,10,26,24,5,2,38,2
2012,61,6,17.9,10,34,29,12,9,41.45,2
2013,40.4,2,4.4,10,27,21,6,3,36.8,2
2014,72.5,9,12.29,18,58,49,22,11,51.654,3
2015,66.7,4,7.63,18,42,37,14,8,31.344,3
