Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,8.3,0,0,3,3,2,0,0,0.272,3
1984,1.1,0,0,1,1,1,0,0,0,1
1985,14.3,0,0,7,7,6,1,0,2.952,3
1986,15.3,0,0,7,7,5,2,0,4.34,3
1987,39,1,0,7,6,3,3,1,6.092,3
1988,64,2,0,14,14,11,8,5,25.935,3
1989,23.5,0,0,7,7,4,2,1,5,2
1990,0,0,0,0,0,0,0,0,0,0
1991,7.8,0,0,2,2,2,0,0,0,2
1992,13.4,0,0,7,7,6,1,0,5.028,3
1993,21.5,0,0,4,4,3,1,1,1.068,3
1994,26,0,0,9,9,8,3,1,8.308,3
1995,40,1,0,9,9,9,4,1,11.218,3
1996,30,0,0,3,3,2,1,1,0.066,3
1997,46.4,1,0,7,7,6,1,1,3.34,3
1998,20,0,0,6,6,4,1,0,3.34,3
1999,66.7,2,0,11,11,11,4,2,15.67,3
2000,0,0,0,0,0,0,0,0,0,0
2001,8.2,0,0,4,4,4,0,0,1.302,3
2002,3.2,0,0,3,3,3,0,0,0.408,3
2003,34,1,0,6,6,5,3,2,10.06,3
2004,9.8,0,0,4,4,2,0,0,0.655,3
2005,33.3,1,0,12,12,8,2,2,4.14,3
2006,27.5,0,0,9,9,7,1,1,4.195,3
2007,43.1,1,0,13,13,7,1,1,2.995,3
2008,12.7,0,0,2,2,2,1,0,0,2
2009,16,0,0,3,3,3,2,0,0.612,3
2010,8.2,0,0,4,4,4,0,0,2.792,3
2011,24.9,0,0,5,5,4,1,1,2.827,3
2012,1,0,0,1,1,0,0,0,0,1
2013,55.6,1,0,10,10,9,3,1,11.02,3
2014,30.2,1,0,11,11,9,3,1,8.598,3
2015,23.7,0,17.8,17,65,62,57,4,21,2
