Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,61.2,6,3.67,18,36,26,10,8,41.31,3
1984,63.2,2,2,17,37,24,8,3,20.513,3
1985,98.4,3,6.91,18,44,34,16,8,32.532,3
1986,56,8,7.65,18,49,39,14,10,43.918,3
1987,138.3,3,8.22,17,39,28,12,3,25.68,3
1988,92.2,10,22.4,17,51,47,23,19,50.24,3
1989,58,5,7.94,18,43,32,12,5,37.434,3
1990,48.8,4,6.14,18,41,34,12,12,32.092,3
1991,48,5,11.14,18,56,38,19,7,33.224,3
1992,80.2,10,9.19,18,56,38,18,10,55.478,3
1993,0,0,0,0,0,0,0,0,0,0
1994,63,8,9.2,18,55,38,17,10,41.404,3
1995,40.5,2,6.54,18,49,33,13,6,26.248,3
1996,63.5,3,8.43,18,47,34,15,7,30.015,3
1997,55,4,5.975,18,51,43,13,5,30.885,3
1998,66.3,7,11.06,18,47,40,19,12,47.874,3
1999,49,2,7.27,18,54,41,13,3,20.45,3
2000,63,4,8.46,16,33,28,15,8,43.817,3
2001,59.3,2,4.84,18,48,42,9,4,24.938,3
2002,84,7,9.27,18,43,32,16,9,46.768,3
2003,74,7,7.48,18,50,38,15,7,43.746,3
2004,88.7,3,9.93,18,42,36,17,5,40.725,3
2005,87.4,6,8.64,18,44,35,14,9,35.254,3
2006,66.1,5,6.32,18,50,34,14,8,36.54,3
2007,81,9,10.11,18,57,42,18,11,45.21,3
2008,65,5,6,17,34,28,13,8,41.06,3
2009,72,5,7,17,42,31,15,9,36.05,3
2010,62,3,8,17,47,40,14,8,31.36,3
2011,96,4,6,16,33,25,12,6,33.36,3
2012,61,9,10.65,18,49,45,18,13,42,2
2013,58.4,3,8.3,18,43,35,14,5,27.564,3
2014,108.4,3,8.41,18,57,48,16,11,30.414,3
2015,71.7,4,8.89,18,32,26,17,7,36.814,3
