Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,1.2,0,0,1,1,1,0,0,0,1
1984,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0
1987,1,0,0,1,1,0,0,0,0,1
1988,11.2,0,0,2,2,1,1,0,0.92,2
1989,0.3,0,0,1,1,0,0,0,0,1
1990,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0
1992,13,0,0,1,1,1,1,0,0,1
1993,4,0,0,1,1,1,0,0,0,1
1994,60,1,0,3,3,2,1,1,5.5,2
1995,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0
1997,4.5,0,0,1,1,1,0,0,0,1
1998,12.2,0,0,3,3,3,1,0,5.09,2
1999,7,0,0,2,2,2,0,0,1.8,2
2000,1.3,0,0,1,1,1,0,0,0,1
2001,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0
2003,0.5,0,0,1,1,0,0,0,0,1
2004,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0
2007,14,0,0,5,5,2,1,0,8.884,2
2008,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0
2010,7,0,0,4,4,3,0,0,2.83,2
2011,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0
2013,11,0,0,1,1,1,1,0,0,1
2014,13,0,0,3,3,3,2,0,2.856,3
2015,0,0,0,0,0,0,0,0,0,0
