Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,100,8,10.06,19,51,,,,41.036,4
1984,72.7,5,8.1,19,52,,,,34.16,4
1985,37.5,2,9,18,70,,,,24.768,4
1986,60.1,5,9.28,19,67,,,,32.132,4
1987,50,4,8.76,19,70,,,,29.528,4
1988,62,6,13.55,19,69,,,,34.7,4
1989,111.2,6,12.98,19,72,,,,35.72,4
1990,45.3,6,10.94,19,62,,,,34.36,4
1991,120.6,4,14.14,19,67,,,,31.692,4
1992,75.3,5,7.5,18,66,,,,36.18,4
1993,73.2,10,15.74,19,70,,,,40.292,4
1994,167.1,8,11.48,19,61,,,,48.42,4
1995,79.6,5,13.4,19,62,,,,32.388,4
1996,74.5,7,10.1,19,70,,,,34.875,4
1997,93.5,4,13.4,19,70,,,,31.512,4
1998,58,9,17.1,19,63,,,,41.04,4
1999,88.5,10,10.72,19,76,,,,46.624,4
2000,63.3,6,10.2,19,64,,,,36.8,4
2001,50,5,12,17,70,,,,35.36,4
2002,45,2,7.46,19,41,,,,26.072,4
2003,54.7,7,10.32,19,63,,,,37.36,4
2004,41,8,14.605,19,58,,,,34.622,4
2005,51,8,13,18,62,,,,35.555,4
2006,50,6,10.88,19,70,,,,38.148,4
2007,65,7,12.82,19,62,,,,39.609,4
2008,60,7,16,18,71,,,,39.125,4
2009,67.2,6,7.68,19,58,,,,33.844,4
2010,59.6,6,13.5,18,71,,,,31.36,4
2011,65,2,7.06,19,59,,,,23.924,4
2012,66.8,4,11.1,19,67,,,,30.035,4
2013,83.9,9,11.64,19,62,,,,49.708,4
2014,88.5,10,18.38,18,81,64,30,14,40.102,3
