Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,61.4,2,1,16,45,,,,12.008,4
1984,23,0,0.1,9,33,,,,3.915,4
1985,28,0,1.4,19,46,,,,16.944,4
1986,80.5,2,1.58,19,40,,,,16.58,4
1987,70.5,1,0.1,17,34,,,,11.108,4
1988,95,2,1.3,18,50,,,,11.355,4
1989,101.5,2,4.4,19,43,,,,21.488,4
1990,60.3,2,0.1,10,30,,,,6.26,4
1991,106.8,3,0.1,18,31,,,,12.52,4
1992,61.5,2,0.7,18,42,,,,16.04,4
1993,50,3,1,18,43,,,,15.72,4
1994,50.6,4,4,17,44,,,,29.88,4
1995,110,3,1,18,40,,,,19.448,4
1996,47.8,3,1,18,37,,,,20.675,4
1997,51,2,1.255,19,49,,,,13.425,4
1998,58.6,5,2.56,19,39,,,,36.008,4
1999,86,3,5.74,19,56,,,,28.228,4
2000,34,1,2,17,36,,,,14.93,4
2001,67,2,2.66,19,35,,,,20.8,4
2002,47,2,1.36,19,28,,,,23.024,4
2003,48.8,2,3.4,19,32,,,,17.76,4
2004,39,3,0.45,19,33,,,,25.265,4
2005,42.2,2,1.16,19,39,,,,8.18,4
2006,24,0,2.3,18,42,,,,9.924,4
2007,48.2,2,3.9,19,29,,,,17.584,4
2008,42,2,0.75,19,19,,,,19.75,4
2009,53,2,1,16,24,,,,16.16,4
2010,42,3,1.8,19,26,,,,18.72,4
2011,47,2,0,14,14,,,,24.44,4
2012,94,4,3,18,24,,,,27.75,4
2013,91.6,5,0.7,18,25,,,,34.6,4
2014,62.8,3,4.21,18,32,27,9,4,27.72,3
2015,43.5,1,0,13,13,10,3,1,10.439,3
