Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,21.9,0,0,12,12,,,,8.616,4
1984,40,1,0,14,14,,,,7.48,4
1985,40,1,0,15,15,,,,19.168,4
1986,28.2,0,0.28,19,20,,,,11,3
1987,77,1,2.28,19,28,,,,13.696,4
1988,51,1,1.95,19,25,,,,21.45,4
1989,35.4,1,1.4,18,24,,,,22.092,4
1990,20,0,0,15,15,,,,6.872,4
1991,75.3,1,0.2,18,20,,,,17.136,4
1992,27.5,0,1.475,19,26,,,,13.005,4
1993,30.7,1,1.6,18,23,,,,15.052,4
1994,32.1,2,4.76,19,30,,,,22.408,4
1995,27.9,0,1.6,17,28,,,,8.36,4
1996,17.5,0,1.2,18,33,,,,11.175,4
1997,91.1,4,0.2,18,22,,,,23.616,4
1998,51.8,3,4.68,19,35,,,,21.856,4
1999,48.9,2,1.92,19,32,,,,16.616,4
2000,35.7,1,1.625,19,29,,,,18.335,4
2001,43.6,1,0.56,19,19,,,,11.644,4
2002,20.7,0,1.3,16,30,,,,13.128,4
2003,42.2,1,0.4,18,22,,,,14.828,4
2004,26.2,0,2.58,19,31,,,,9.86,4
2005,132.4,2,0.1,18,21,,,,19.908,4
2006,39.1,2,1.18,19,28,,,,16.388,4
2007,59.1,2,3.66,19,26,,,,17.256,4
2008,25,0,2,18,29,,,,14,3
2009,46.3,1,0.88,19,21,,,,13.72,4
2010,32.5,1,2.56,19,29,,,,8.432,4
2011,40.1,1,1.18,19,26,,,,12.608,4
2012,95.6,3,1.375,19,30,,,,24.115,4
2013,20.2,0,0.5,16,23,,,,10.04,4
2014,91.9,2,3.73,18,30,24,6,4,23.488,3
