Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,63.1,4,8.92,19,54,,,,29.384,4
1984,39.5,3,4.1,19,51,,,,26.305,4
1985,65,6,13.34,19,61,,,,40.788,4
1986,55.5,4,10.72,19,55,,,,31.332,4
1987,37,2,8.82,19,62,,,,24.3,3
1988,58.2,4,8.78,19,67,,,,28.8,4
1989,73.1,9,11.22,19,62,,,,44.856,4
1990,54.2,5,5.385,19,43,,,,31.011,4
1991,40.9,2,7.31,19,58,,,,22.337,4
1992,52.2,5,9.925,19,64,,,,30.71,4
1993,49.5,10,14.81,19,59,,,,40.227,4
1994,66.2,6,10.24,19,70,,,,38.244,4
1995,47.5,3,11.18,19,63,,,,25.132,4
1996,106.9,7,13.5,19,60,,,,36.88,4
1997,59.6,4,9.8,19,64,,,,29.42,4
1998,49.4,7,9.02,19,63,,,,41.52,4
1999,106.3,9,11.48,19,79,,,,39.752,4
2000,63.3,6,10.15,19,55,,,,37.645,4
2001,40.6,2,10.56,19,70,,,,20.776,4
2002,67.1,8,14.78,19,57,,,,42.704,4
2003,72.1,7,17.14,19,57,,,,35.668,4
2004,52.7,5,9.475,19,55,,,,32.59,4
2005,65.4,4,8.84,19,55,,,,31.16,4
2006,63.4,5,12.06,19,70,,,,34.08,4
2007,47,8,8.585,19,65,,,,39.466,4
2008,73.3,7,11.25,19,61,,,,33.835,4
2009,69.4,7,7.48,19,47,,,,40.936,4
2010,55.7,6,12.08,19,60,,,,35.1,4
2011,44.4,4,7.44,19,50,,,,31.888,4
2012,42.3,4,11.225,19,63,,,,31.6,4
2013,38,2,6.8,19,43,,,,26.74,4
2014,77.7,9,18.85,18,67,58,26,17,40.544,3
