Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,31,1,3.12,19,27,,,,18.432,4
1984,20.7,0,1,18,22,,,,8.39,4
1985,88.6,5,3.38,19,36,,,,36.888,4
1986,43.7,4,5.16,19,40,,,,22.296,4
1987,39.4,1,3.4,19,33,,,,16.724,4
1988,50.2,4,6.925,19,57,,,,29.84,4
1989,34.4,4,5.28,19,37,,,,29.908,4
1990,82.4,3,4.46,19,37,,,,28.952,4
1991,52.4,3,6.54,19,34,,,,25.536,4
1992,50.1,2,6.7,18,45,,,,15.89,4
1993,44,4,6.72,19,38,,,,27.736,4
1994,50.6,7,10.4,18,54,,,,33.256,4
1995,53,6,12.34,19,50,,,,41.364,4
1996,37.2,1,5.2,17,44,,,,15.35,4
1997,75.6,4,8.96,19,52,,,,26.044,4
1998,48.3,2,7.44,19,56,,,,21.504,4
1999,62.6,4,11.82,19,55,,,,32.592,4
2000,45.8,3,2.975,19,40,,,,23.985,4
2001,62.8,5,8.94,19,45,,,,31.42,4
2002,54,5,7.4,18,52,,,,30.436,4
2003,78.2,7,11.74,19,49,,,,38.016,4
2004,35.2,2,7.85,19,40,,,,25.17,4
2005,61.4,8,14,19,50,,,,35.304,4
2006,74,3,6.96,19,37,,,,21.832,4
2007,77.2,5,6.64,19,47,,,,32.272,4
2008,49,2,7.75,19,47,,,,21.35,4
2009,63,5,6,18,39,,,,34.44,4
2010,66,5,9,17,44,,,,34.36,4
2011,55.7,4,11.66,19,35,,,,28.752,4
2012,64.4,8,21.675,19,52,,,,44.78,4
2013,46.8,4,6.44,19,37,,,,30.888,4
2014,64.6,5,15.64,18,57,49,23,10,35.688,3
2015,57.4,4,8.54,18,45,36,16,9,38.558,3
