Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,65,5,1.24,19,22,,,,32.1,4
1984,46,2,0,16,16,,,,12.835,4
1985,33.2,1,2.28,19,31,,,,17.984,4
1986,49,5,0.26,19,20,,,,36.576,4
1987,47.3,2,2.12,19,30,,,,20.548,4
1988,77.3,1,4.575,19,37,,,,20.58,4
1989,29.9,0,4,18,34,,,,21.412,4
1990,25.2,0,1.96,19,26,,,,12.976,4
1991,51.7,1,2.2,19,27,,,,20.892,4
1992,65.5,6,5,18,32,,,,39.615,4
1993,34.4,3,6.86,19,30,,,,22.36,4
1994,50,6,6.6,19,37,,,,36.2,4
1995,48.8,5,2,18,24,,,,33.736,4
1996,45,3,5.625,19,37,,,,26.1,4
1997,51.3,2,3.86,19,31,,,,26.848,4
1998,64.3,3,3.28,19,26,,,,24.12,4
1999,95.2,6,9.36,19,29,,,,34.656,4
2000,71.3,1,2.15,19,21,,,,22.14,4
2001,65,1,4.82,19,34,,,,22.736,4
2002,46.4,1,2.44,19,30,,,,15.272,4
2003,51.8,3,4.28,19,37,,,,26.944,4
2004,33.5,1,2.88,19,38,,,,19.648,4
2005,31,1,4.06,19,33,,,,15.68,4
2006,89.1,4,8.02,19,41,,,,30.336,4
2007,83.1,6,6.08,19,38,,,,40.124,4
2008,54,3,3.75,19,36,,,,24.1,4
2009,60,3,3,16,31,,,,19.32,4
2010,56,3,6.52,19,33,,,,29.58,4
2011,50.3,1,4.36,19,37,,,,20.032,4
2012,88,5,6.775,19,31,,,,36.03,4
2013,54.5,3,3,16,34,,,,26.72,4
2014,36.2,1,7.7,18,46,39,11,5,23.152,3
2015,69.7,3,2.27,18,31,26,9,5,31.74,3
