Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,49.2,3,1.92,19,28,,,,22.34,4
1984,32.7,1,1.225,19,26,,,,11.025,4
1985,88.4,3,2.92,19,37,,,,18.18,4
1986,38.2,1,3.4,18,33,,,,21.424,4
1987,37.5,3,4.18,19,31,,,,25.972,4
1988,50,3,2.8,18,38,,,,28.405,4
1989,80,2,2.94,19,40,,,,24.924,4
1990,30.6,1,1.66,19,26,,,,13.208,4
1991,69.6,2,3.94,19,37,,,,19.936,4
1992,74.7,3,3.775,19,37,,,,28.2,4
1993,42.5,3,2.9,19,28,,,,25.4,4
1994,47.2,2,9.38,19,47,,,,19.18,4
1995,52.7,7,4.66,19,40,,,,44.948,4
1996,42.5,6,4.95,19,38,,,,34.925,4
1997,74.1,5,4.6,19,48,,,,34.352,4
1998,39.2,3,4.36,19,40,,,,21.52,4
1999,39.1,2,4.74,19,46,,,,19.932,4
2000,37.4,1,5.625,19,34,,,,16.18,4
2001,61.8,2,4.32,19,37,,,,21.104,4
2002,80.3,3,6.36,19,38,,,,28.96,4
2003,32.8,1,4.52,19,40,,,,25.752,4
2004,40.4,1,3,18,35,,,,11.104,4
2005,45.5,5,5.46,19,43,,,,30.904,4
2006,42,4,6.06,19,39,,,,28.58,4
2007,83.2,7,8.52,19,45,,,,50.104,4
2008,39,1,3.75,19,35,,,,12,3
2009,43,2,5,17,33,,,,17.72,4
2010,52.5,4,3.58,19,37,,,,27.712,4
2011,75.5,4,4.5,19,36,,,,32.136,4
2012,69.8,7,5.625,19,36,,,,36.805,4
2013,49.7,3,4.62,19,32,,,,22.26,4
2014,53.5,5,7.71,18,43,40,16,8,36.014,3
