Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,55,2,3.5,18,52,,,,27.568,4
1984,53,1,3.375,19,39,,,,24,3
1985,39.5,7,8,18,51,,,,32.608,4
1986,37.4,3,8.44,19,43,,,,26.18,4
1987,33,1,4.8,19,58,,,,20.08,4
1988,63,4,9.875,19,61,,,,31.65,4
1989,116,5,6.46,19,69,,,,37.16,4
1990,34,1,4.94,19,56,,,,21.2,4
1991,70.5,5,6,18,48,,,,35.72,4
1992,60,7,13,18,62,,,,37.175,4
1993,37,1,3.8,19,59,,,,23,3
1994,127,5,5,18,51,,,,50.88,4
1995,52,4,6,18,68,,,,29.44,4
1996,57,5,10.25,19,68,,,,40,2
1997,70,6,9,18,67,,,,43.6,4
1998,90,6,7.8,19,64,,,,46,3
1999,101,4,8.8,19,82,,,,31.8,4
2000,70,2,5,18,69,,,,26.75,4
2001,61,1,5.8,19,57,,,,23.36,4
2002,170,5,5,18,58,,,,32.36,4
2003,43,3,6,17,55,,,,26.72,4
2004,45,3,6.975,19,65,,,,28.7,4
2005,62.4,8,7,17,64,,,,52.648,4
2006,86,7,8.9,19,77,,,,39.36,4
2007,80.4,4,10,17,59,,,,31.08,4
2008,60,4,9.75,19,51,,,,27.87,4
2009,56.3,5,8.4,19,40,,,,40.08,4
2010,53.4,6,6.3,19,44,,,,32.232,4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
