Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,71.7,6,18.14,18,81,74,28,15,42.602,3
1984,81,5,12.8,17,91,67,24,14,52.552,3
1985,87.9,8,19.69,18,99,79,32,16,44.36,3
1986,67.5,9,15.04,16,101,75,27,13,50.16,3
1987,80,3,12.1,17,76,63,23,8,37.35,3
1988,137.5,9,19.89,18,97,83,34,18,61.467,3
1989,74.5,7,21.49,18,91,74,33,19,52.02,3
1990,111.5,5,13.38,18,83,76,29,11,43.08,3
1991,51.5,9,20,17,95,79,34,17,37.85,3
1992,52,7,18.95,18,87,82,27,17,44.5,2
1993,115,9,16.41,18,112,90,29,15,53.602,3
1994,106.5,6,17.5,17,95,80,33,15,48.652,3
1995,55,4,14.34,18,89,66,23,9,33.34,3
1996,70,10,19,15,109,88,35,15,52.36,3
1997,75.5,7,18.79,18,105,76,33,16,44.7,3
1998,59,12,19.05,18,91,76,31,17,52.102,3
1999,119.5,8,21.79,18,116,91,36,19,62.242,3
2000,66.8,7,13.615,18,94,77,24,11,34.145,3
2001,61.2,5,17.45,18,103,82,31,12,37.418,3
2002,76,11,24.18,18,86,80,33,20,57.05,3
2003,133.3,11,20.74,18,97,85,28,20,74.68,3
2004,93,8,17.455,18,93,85,33,16,55.821,3
2005,68,6,16.64,18,76,66,22,14,47.6,3
2006,95.5,7,19.96,18,114,92,29,18,48.35,3
2007,73.5,8,18.195,18,87,76,33,15,53.064,3
2008,57,9,19.52,18,89,75,30,16,47.48,3
2009,67.2,5,18,17,107,95,31,16,36.88,3
2010,46,6,15.35,18,97,85,30,12,39.37,3
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
