Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,70.5,4,12.86,19,49,,,,34.008,4
1984,54.9,6,4.65,19,56,,,,33.5,3
1985,61.5,5,11.92,19,61,,,,33.128,4
1986,96.6,6,8.495,19,51,,,,47.374,4
1987,100,5,7.66,18,43,,,,31.956,4
1988,73.1,3,11.25,19,65,,,,26.21,4
1989,64.7,7,14.78,19,72,,,,43.8,4
1990,42.3,4,10.9,19,55,,,,30.608,4
1991,61.5,6,13.9,19,60,,,,40.08,4
1992,51,4,9.475,19,62,,,,25.905,4
1993,74.5,3,8.5,19,75,,,,28.72,4
1994,48.5,6,12.16,19,63,,,,33.488,4
1995,176,9,16.6,19,60,,,,41.06,4
1996,72.1,6,11.225,19,62,,,,36.07,4
1997,82,11,13.5,18,68,,,,41.04,4
1998,86,10,12.66,19,66,,,,48.968,4
1999,60.6,6,15.16,19,75,,,,43.32,4
2000,79,3,7.5,17,59,,,,22.35,4
2001,97,7,14.5,17,55,,,,48.308,4
2002,65.5,13,16.4,19,49,,,,46.04,4
2003,60.5,6,10.2,19,55,,,,32.62,4
2004,50,7,12.9,19,64,,,,40.3,3
2005,69,6,12.425,19,55,,,,37.87,4
2006,64,6,12.4,19,72,,,,31.252,4
2007,70.5,8,11.9,19,70,,,,43.936,4
2008,52,7,10,17,53,,,,39.305,4
2009,40.5,4,11.74,19,60,,,,31.98,4
2010,72,10,15.74,19,60,,,,41.26,4
2011,92.2,4,13.28,19,50,,,,30.38,4
2012,57.3,9,8.475,19,60,,,,44.91,4
2013,49.3,6,12.685,19,66,,,,33.111,4
2014,83.9,8,12.5,17,63,56,24,12,53.522,3
