Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0
1985,0.2,0,0,1,1,0,0,0,0,1
1986,20,0,0,3,3,2,1,0,0.34,3
1987,6,0,0,4,4,3,0,0,1.42,3
1988,14,0,0,7,7,6,1,0,3.4,3
1989,7.5,0,0,4,4,3,0,0,0.804,3
1990,0,0,0,0,0,0,0,0,0,0
1991,15.7,0,0,3,3,3,1,0,0.68,3
1992,0,0,0,0,0,0,0,0,0,0
1993,6.7,0,0,3,3,2,0,0,0.238,3
1994,16.7,0,0,5,5,4,2,0,4.474,3
1995,1,0,0,1,1,0,0,0,0,1
1996,0.3,0,0,1,1,0,0,0,0,1
1997,9.8,0,0,5,5,2,0,0,1,2
1998,1.2,0,0,4,4,1,0,0,0.67,3
1999,39.2,1,0,9,9,7,1,1,3.558,3
2000,2,0,0,1,1,1,0,0,0,1
2001,0,0,0,0,0,0,0,0,0,0
2002,9,0,0,3,3,3,0,0,0.68,3
2003,10.1,0,0,6,6,6,1,0,1.531,3
2004,1,0,0,1,1,0,0,0,0,1
2005,4.5,0,0,4,4,3,0,0,1.142,3
2006,10.9,0,0,3,3,3,1,0,0.748,3
2007,26.7,0,0,8,8,5,3,1,10.214,3
2008,0,0,0,0,0,0,0,0,0,0
2009,1,0,0,1,1,0,0,0,0,1
2010,11.4,0,0,5,5,3,1,0,1.112,3
2011,0,0,0,0,0,0,0,0,0,0
2012,2.6,0,0,1,1,1,0,0,0,1
2013,6,0,0,4,4,3,0,0,1.204,3
2014,6.3,0,0,4,4,4,0,0,2,2
2015,8,0,0,5,5,4,0,0,2.35,3
