Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,104.5,3,0.2,18,20,,,,10.956,4
1984,40.5,1,0,14,14,,,,6.815,4
1985,28.7,0,1.3,18,26,,,,9.036,4
1986,52,3,1.3,18,25,,,,25.936,4
1987,34.8,1,2.1,18,28,,,,14.708,4
1988,57.7,6,2.725,19,36,,,,35.365,4
1989,39.4,1,2.46,19,28,,,,18.572,4
1990,28.7,0,0,12,12,,,,6.504,4
1991,18.4,0,0.58,19,20,,,,6.632,4
1992,57,4,2.45,19,35,,,,31.415,4
1993,38.2,2,1.16,19,24,,,,15.268,4
1994,35.6,1,3.32,19,26,,,,16.808,4
1995,55.4,6,2.36,19,26,,,,48.42,4
1996,73.4,1,1.775,19,26,,,,11.05,4
1997,47,2,1.94,19,28,,,,12.768,4
1998,49.3,4,2.3,19,27,,,,32.56,4
1999,50.2,4,2.62,19,30,,,,23.752,4
2000,43.3,1,1.95,19,26,,,,14.935,4
2001,64,1,2.08,19,25,,,,15.628,4
2002,27,0,0,16,16,,,,14.648,4
2003,48,2,2.8,19,27,,,,18.216,4
2004,46,3,0.15,19,19,,,,10.7,4
2005,44.6,5,4.8,19,31,,,,32.888,4
2006,70,3,1.24,19,25,,,,11.444,4
2007,145.4,3,0.995,19,26,,,,21.803,4
2008,50,1,1,16,25,,,,17.1,4
2009,37,1,0,16,16,,,,8,3
2010,45,1,2.24,19,27,,,,10.68,4
2011,19.3,0,0,16,16,,,,6.748,4
2012,12,0,0,16,16,,,,5.44,4
2013,40,2,0.175,17,17,,,,12.109,4
2014,23.3,0,1.91,18,24,20,11,5,22.04,3
2015,48.6,3,1.8,18,20,18,9,5,28.52,3
