Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,27.5,0,0,9,9,,,,7.484,4
1984,3.3,0,0,2,2,,,,0,2
1985,16.4,0,0,10,10,,,,2.024,4
1986,13.3,0,0,13,13,,,,5.876,4
1987,35,1,0,10,10,,,,13.035,4
1988,200.5,5,0,14,14,,,,35.225,4
1989,20.8,0,0.16,19,19,,,,6.108,4
1990,2,0,0,4,4,,,,0.072,4
1991,19.1,0,0,7,7,,,,1.532,4
1992,66.4,2,0,15,15,,,,7.085,4
1993,21,0,0,9,9,,,,2.136,4
1994,35,2,0.44,19,20,,,,20.272,4
1995,45.9,3,0,18,18,,,,15.28,4
1996,57.3,3,0,18,18,,,,17.12,4
1997,40.8,2,0.2,17,21,,,,8.22,4
1998,44,1,0,14,14,,,,6.968,4
1999,27,0,0.68,19,24,,,,9.304,4
2000,34.8,1,0,12,12,,,,4.07,4
2001,34,1,0,15,15,,,,8.74,4
2002,37,1,0,17,17,,,,5.932,4
2003,44.3,1,0.54,19,20,,,,9.836,4
2004,45.3,1,0,10,10,,,,6.645,4
2005,70,1,0,13,13,,,,9.668,4
2006,42.4,1,0,17,17,,,,12.604,4
2007,36.3,1,0,14,14,,,,17.224,4
2008,22,0,0,13,13,,,,7,3
2009,42,2,0,12,12,,,,9.72,4
2010,29,0,0,14,14,,,,2.244,4
2011,22.4,0,0,4,4,,,,0.72,4
2012,21.7,0,0,9,9,,,,8.2,4
2013,41,1,0,11,11,,,,8.36,4
2014,44.9,2,0.6,16,22,14,4,3,17.638,3
2015,24.3,0,0.2,16,19,13,1,1,6.875,3
