Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,51.4,7,14.14,18,57,54,24,10,39.71,3
1984,99.5,6,10.93,18,51,39,19,8,51.483,3
1985,53.5,7,12.85,18,46,36,19,12,40.36,3
1986,64.8,7,11.71,18,54,45,19,12,40.806,3
1987,94,4,12.5,17,47,46,20,10,36.768,3
1988,131.4,7,14,17,68,62,22,11,42.5,3
1989,67.5,9,17.82,18,72,56,26,15,48.85,3
1990,71,7,8,16,57,50,15,10,55.264,3
1991,74.2,3,11.125,16,52,44,17,12,41.7,3
1992,60.5,9,11.46,18,59,51,19,11,46.732,3
1993,75,5,16.3,17,59,51,27,15,37.88,3
1994,83.8,7,13.45,18,61,57,27,12,44.04,3
1995,58,10,18.2,18,70,61,27,16,44.37,3
1996,94,11,16.595,18,67,57,26,16,60.445,3
1997,53.5,5,11.79,15,50,45,16,10,36.38,3
1998,58.6,7,15.6,18,58,53,22,14,37.522,3
1999,94.5,11,14.93,18,69,65,27,15,62.69,3
2000,123.8,10,21.12,18,53,49,24,18,66.44,3
2001,63,10,16.29,19,64,53,28,15,43.772,3
2002,88.2,4,12.06,18,44,35,19,11,34.822,3
2003,83.5,5,11.74,18,66,52,18,11,44.06,3
2004,52.7,3,9.15,18,61,49,17,5,27.66,3
2005,64.3,7,11.6,18,56,48,19,9,47.812,3
2006,44.8,4,11.165,18,68,53,22,9,34.097,3
2007,82.6,10,22.72,18,58,54,30,23,64.4,3
2008,100,8,20.495,18,60,57,30,18,44.107,3
2009,62,6,11.15,18,58,51,19,9,50.465,3
2010,58.1,7,13.69,18,61,47,22,12,44.078,3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
