Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,61.2,6,2.84,19,27,,,,34.044,4
1984,63.2,2,2,17,25,,,,16.615,4
1985,98.4,3,5.96,19,35,,,,28.176,4
1986,56,8,7.24,19,41,,,,39.864,4
1987,138.3,11,8.16,19,34,,,,19.416,4
1988,92.2,17,20.475,19,47,,,,48.7,4
1989,58,5,6.94,19,33,,,,33.844,4
1990,48.8,4,5.9,19,34,,,,30.288,4
1991,48,5,10.32,19,41,,,,30.912,4
1992,80.2,10,7.175,19,41,,,,48.57,4
1993,,,,,,,,,,
1994,63,8,8.2,19,39,,,,40.752,4
1995,40.5,2,6.4,18,33,,,,25.18,4
1996,63.5,3,8.225,19,34,,,,28.07,4
1997,55,5,6.02,19,45,,,,26.34,4
1998,66.3,7,10.32,19,40,,,,42.728,4
1999,49,2,6.2,19,41,,,,19.408,4
2000,63,34,8.3,19,45,,,,30.29,4
2001,59.3,2,4.86,19,43,,,,19.836,4
2002,84,7,9.14,19,33,,,,42.76,4
2003,74,7,6.38,19,38,,,,36.784,4
2004,88.7,3,9.55,19,37,,,,24.67,4
2005,87.4,6,8.2,18,36,,,,31.96,4
2006,66.1,5,5.9,18,38,,,,33.166,4
2007,81,9,9.16,19,44,,,,41.848,4
2008,65,5,5.5,19,34,,,,36.05,4
2009,72,5,6.6,19,42,,,,32.44,4
2010,62,3,7.8,19,47,,,,30,3
2011,96,4,5.6,19,33,,,,29.44,4
2012,61,9,10,18,49,,,,38.75,4
2013,58.4,3,7.44,19,37,,,,24.592,4
2014,53.7,2,8.06,19,33,31,16,6,23.08,4
