Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,65,2,4.74,19,30,,,,,
1984,32.7,1,1.475,19,27,,,,,
1985,35.3,4,4.54,19,32,,,,,
1986,21.5,0,3,16,30,,,,,
1987,46,3,2.86,19,31,,,,,
1988,88.5,4,10.85,19,37,,,,,
1989,40.2,2,7.8,19,36,,,,,
1990,35.7,2,1.755,19,26,,,,,
1991,75,4,4.24,19,32,,,,,
1992,28,0,4.375,19,33,,,,,
1993,43,1,5.8,19,33,,,,,
1994,41.5,2,8.6,19,39,,,,,
1995,45,1,2.78,19,28,,,,,
1996,65.6,1,5.425,19,40,,,,,
1997,60.2,4,4.98,19,40,,,,,
1998,49.4,1,6.16,19,40,,,,,
1999,60,3,10.44,19,50,,,,,
2000,68.8,6,6.525,19,37,,,,,
2001,83.2,1,5.16,19,40,,,,,
2002,36.8,3,3.8,19,30,,,,,
2003,64.9,5,11.76,19,44,,,,,
2004,90.3,3,4,17,32,,,,,
2005,78.5,5,3.22,19,29,,,,,
2006,46.3,5,6.84,19,43,,,,,
2007,80.6,3,5.62,19,38,,,,,
2008,95.6,7,6.875,19,41,,,,,
2009,41.6,1,5.1,18,34,,,,,
2010,45,4,4.98,19,31,,,,,
2011,53.3,5,6,17,32,,,,,
2012,66.3,3,5.95,19,32,,,,,
2013,86,6,8.06,19,39,,,,,
2014,37.8,3,8.37,18,39,34,17,6,26.276,3
