Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,0,0,0,0,0,0,0,0,0,0
1984,43,1,0,11,10,8,3,1,6.112,3
1985,24.8,0,0.07,18,17,13,6,4,20.506,3
1986,26.8,0,0,8,8,6,2,1,6.34,3
1987,10,0,0,2,2,1,0,0,0,2
1988,6.4,0,0,6,5,3,0,0,1.28,3
1989,16.8,0,0,9,8,7,4,0,11.308,3
1990,29.2,0,0,8,7,5,2,1,2.602,3
1991,48,1,0,8,8,8,3,1,8.462,3
1992,38.2,1,0,15,14,7,4,2,14.794,3
1993,138,1,0,16,16,15,4,2,14.852,3
1994,6.4,0,0,7,7,4,0,0,4.13,3
1995,41.6,2,0,10,10,10,3,3,11.572,3
1996,41.2,1,0,9,9,6,1,1,4.099,3
1997,163.2,2,0,16,16,15,4,2,16,3
1998,24.4,0,0,5,5,4,1,1,1.812,3
1999,37,3,0,14,13,10,5,4,24.822,3
2000,70.3,1,0,9,9,9,5,2,15.99,3
2001,14.3,0,0,9,8,4,1,0,2.236,3
2002,36,1,0,13,13,8,3,1,10.078,3
2003,7.6,0,0,5,5,3,0,0,2.122,3
2004,62,1,0,6,6,6,4,1,11.675,3
2005,18.4,0,0,5,5,5,2,0,2.033,3
2006,24,0,0,10,10,8,3,1,10.05,3
2007,14.8,0,0,7,6,5,1,0,4.492,3
2008,1,0,0,1,1,0,0,0,0,1
2009,2.4,0,0,5,5,4,0,0,1.404,3
2010,71.8,2,0,17,16,15,4,3,17.25,3
2011,7.7,0,0,8,8,5,0,0,5.918,3
2012,30,0,0,6,6,5,1,1,1.866,3
2013,,,,,,,,,,
2014,17.2,0,0,10,10,9,2,0,8.466,3
