Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,,,,,,,,,,,
1983,94.7,8,11.2,18,85,67,22,12,47.52,4,,,,,,,,,,,
1984,114.3,7,20.88,16,71,63,29,18,40.37,4,,,,,,,,,,,
1985,99.7,9,19.57,18,77,73,31,16,40.244,4,,,,,,,,,,,
1986,73.5,10,19.13,18,80,69,32,17,46.036,4,,,,,,,,,,,
1987,90.3,7,13.91,18,66,58,25,12,38.896,4,,,,,,,,,,,
1988,80.3,13,19.635,18,84,75,39,18,42.57,4,,,,,,,,,,,
1989,75.2,12,28.6,16,58,53,31,24,55.44,4,,,,,,,,,,,
1990,96,10,21.85,18,61,56,28,19,45.78,4,,,,,,,,,,,
1991,92.5,7,20.02,16,55,53,35,16,43.54,4,,,,,,,,,,,
1992,81.3,10,17.055,18,71,67,31,15,47.65,4,,,,,,,,,,,
1993,87,7,16.82,18,77,71,34,15,41.816,4,,,,,,,,,,,
1994,69,7,18.44,18,70,64,32,15,36.724,4,,,,,,,,,,,
1995,64.7,6,18.65,13,64,53,29,12,36.06,4,,,,,,,,,,,
1996,87,16,24.44,18,74,70,38,22,58.125,4,,,,,,,,,,,
1997,73,12,24.07,18,82,77,41,24,59.08,4,,,,,,,,,,,
1998,137,11,18,17,70,66,31,16,48.08,4,,,,,,,,,,,
1999,85,11,20.7,18,93,78,32,18,51,3,,,,,,,,,,,
2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
2001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
2002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
2003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
2004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
2005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
2006,75.8,11,21.44,18,86,76,37,23,55.396,4,,,,,,,,,,,
2007,77,14,22.73,18,75,72,26,16,64.84,4,,,,,,,,,,,
2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
2009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
2010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
