Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,74,5,9.96,19,63,,,,34.9,4
1984,121.6,6,7.5,18,66,,,,31.135,4
1985,65.5,7,10.74,19,60,,,,40.72,4
1986,50,6,11.8,19,60,,,,37.16,4
1987,35,2,8.58,19,57,,,,21.324,4
1988,51.7,6,14.625,19,54,,,,34.17,4
1989,46,9,11.46,19,49,,,,35.292,4
1990,100.5,2,7.3,19,52,,,,25.924,4
1991,74,3,10.4,19,58,,,,28.04,4
1992,125,4,16.75,19,57,,,,30.175,4
1993,62,3,11.98,19,71,,,,26.292,4
1994,56,4,9.94,19,80,,,,30.216,4
1995,66,5,9.86,19,74,,,,37.58,4
1996,52,4,11.175,19,65,,,,27.36,4
1997,75,6,10.28,19,74,,,,32.928,4
1998,97,6,15.28,19,81,,,,44.54,4
1999,58,5,11.4,19,78,,,,31.104,4
2000,97,7,11.8,19,67,,,,47.425,4
2001,85,5,11.52,19,80,,,,33.04,4
2002,50,6,11.2,19,69,,,,33.22,4
2003,44,4,7.16,19,63,,,,28.844,4
2004,40,3,10.9,19,79,,,,29,3
2005,50,5,14.64,19,69,,,,33.124,4
2006,63.3,7,11.68,19,77,,,,35.696,4
2007,61.1,8,13.36,19,82,,,,43.424,4
2008,56,3,8.75,19,60,,,,30,3
2009,53,4,9,17,54,,,,28.88,4
2010,83.6,8,11.88,19,68,,,,52.448,4
2011,59.2,7,14.78,19,58,,,,51.848,4
2012,35.9,2,10.04,19,50,,,,27.305,4
2013,52.8,5,8.2,18,60,,,,33.02,4
2014,69.9,9,14.95,18,69,51,24,11,41.865,3
