Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,67.5,5,2.46,19,30,,,,33.924,4
1984,29.5,0,1,16,25,,,,15.505,4
1985,72,3,5.54,19,39,,,,26.072,4
1986,69.5,4,4,18,41,,,,24.784,4
1987,61,6,4.52,18,34,,,,37.656,4
1988,72.5,6,7.5,19,51,,,,48.355,4
1989,83,8,6.32,19,34,,,,42.5,3
1990,85.6,2,2.26,19,28,,,,25.568,4
1991,27.5,0,4.18,19,42,,,,14.904,4
1992,68.5,5,4.675,19,31,,,,33.855,4
1993,79.2,6,8.4,19,44,,,,35.044,4
1994,41.5,3,10.6,18,47,,,,24.672,4
1995,75.5,2,5.28,19,44,,,,26.98,4
1996,51.4,4,10.8,19,39,,,,29.715,4
1997,32.1,2,3.6,19,42,,,,17.86,4
1998,39.3,2,6,19,43,,,,25.664,4
1999,53.8,6,6.44,19,49,,,,33.472,4
2000,125.7,7,5.025,19,38,,,,35.48,4
2001,59.6,5,4.82,19,48,,,,32.372,4
2002,50.4,3,4.22,19,37,,,,28.86,4
2003,52.8,3,8.48,19,44,,,,25.596,4
2004,31.8,1,2.375,19,35,,,,15.525,4
2005,53,2,3.8,19,36,,,,22.328,4
2006,36.6,1,5.1,18,46,,,,22.784,4
2007,87.4,8,7.1,18,41,,,,43.84,4
2008,49.2,2,7.75,19,53,,,,21.195,4
2009,50.1,2,4.2,18,32,,,,19.888,4
2010,44.3,5,7.6,19,46,,,,31.556,4
2011,63.4,2,3.32,19,32,,,,14.88,4
2012,48.1,5,7.25,19,42,,,,34.305,4
2013,61.6,4,4.28,19,39,,,,34.72,4
2014,74.7,6,6.77,18,48,40,12,10,48.92,3
2015,50.7,5,4,18,35,32,16,12,37.68,3
