Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,67.5,5,2.46,9,,,,,2.976,4
1984,29.5,0,1,2,,,,,0,2
1985,72,3,5.54,10,,,,,3.764,4
1986,69.5,4,4,17,,,,,6.004,4
1987,61,6,4.52,8,,,,,7.48,4
1988,72.5,6,7.5,10,,,,,39.95,4
1989,83,8,6.32,10,,,,,1.172,4
1990,85.6,2,2.26,5,,,,,0.316,4
1991,27.5,0,4.18,5,,,,,0.136,4
1992,68.5,5,4.675,12,,,,,3.22,4
1993,79.2,6,8.4,7,,,,,1.348,4
1994,41.5,3,10.6,17,,,,,17.044,4
1995,75.5,2,5.28,18,,,,,8.568,4
1996,51.4,4,10.8,19,,,,,18.94,4
1997,32.1,2,3.6,15,,,,,5.686,4
1998,39.3,2,6,17,,,,,10.96,4
1999,53.8,6,6.44,19,,,,,9.438,4
2000,125.7,7,5.025,8,,,,,4.135,4
2001,59.6,5,4.82,12,,,,,8.728,4
2002,50.4,3,4.22,10,,,,,5.72,4
2003,52.8,3,8.48,19,,,,,10.456,4
2004,31.8,1,2.375,10,,,,,2.927,4
2005,53,2,3.8,16,,,,,6.06,4
2006,36.6,1,5.1,14,,,,,13.576,4
2007,87.4,8,7.1,19,,,,,12.088,4
2008,49.2,2,7.75,19,,,,,3.695,4
2009,50.1,2,4.2,17,,,,,12.724,4
2010,44.3,5,7.6,17,,,,,4.744,4
2011,63.4,2,3.32,5,,,,,1.432,4
2012,48.1,5,7.25,9,,,,,14.015,4
2013,61.6,4,4.28,10,,,,,12.116,4
2014,88,3,0,14,14,11,5,4,29.56,3
