Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,16.7,0,0,6,6,3,2,0,1.68,3
1984,3,0,0,1,1,1,0,0,0,1
1985,10.8,0,0,5,5,4,1,0,2.34,3
1986,19.7,0,0,12,12,6,1,0,2.51,3
1987,47.3,1,0,9,9,8,1,1,5.003,3
1988,63.5,2,0,11,11,11,7,2,15.28,3
1989,7,0,0,6,6,3,0,0,1.112,3
1990,35,1,0,4,4,2,1,1,0.3,2
1991,17.4,0,0,7,7,5,1,0,3.234,3
1992,0,0,0,0,0,0,0,0,0,0
1993,4,0,0,5,5,1,0,0,0.434,3
1994,23.5,0,0,14,14,13,4,1,11.672,3
1995,27,0,0,12,12,8,3,1,11.04,3
1996,12.4,0,0,6,6,6,2,0,6.027,3
1997,11,0,0,10,10,9,1,0,4.802,3
1998,119,1,0,9,9,8,5,3,20,3
1999,62.3,2,0,13,13,13,5,4,25.02,3
2000,0.8,0,0,1,1,0,0,0,0,1
2001,15,0,0,5,5,5,2,0,3.362,3
2002,13.3,0,0,5,5,5,1,0,2.134,3
2003,37.4,2,0,12,12,12,5,4,21.34,3
2004,12,0,0,6,6,6,2,0,2.95,3
2005,12.7,0,0,9,9,9,1,0,4.137,3
2006,64.5,2,0,5,5,5,3,2,10.302,3
2007,37.5,1,0,13,13,13,8,1,16.28,3
2008,15.7,0,0,10,10,9,1,0,6.275,3
2009,28.5,0,0,10,10,8,4,1,10.908,3
2010,28.7,0,0,8,8,8,6,1,16.812,3
2011,16,0,0,7,7,7,2,0,6.102,3
2012,25,0,0,9,9,7,3,1,10.892,3
2013,46.4,2,0,9,9,9,3,2,9.928,3
2014,115.5,2,0,15,15,14,4,2,14.34,3
2015,40,1,0,7,7,5,1,1,6.033,3
