Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,3,0,0,4,4,2,0,0,0.472,3
1984,56,1,0,5,5,2,1,1,0.866,3
1985,20.4,0,0,9,8,5,2,1,5.364,3
1986,28.2,0,0,14,12,7,2,2,7.84,3
1987,13.5,0,0,14,14,12,4,0,12.17,3
1988,34.2,1,0,12,12,10,3,2,8.82,3
1989,23,0,0,9,8,5,2,1,7.442,3
1990,24.3,0,0,10,9,7,1,1,4.71,3
1991,6.2,0,0,4,4,2,0,0,0.538,3
1992,21.1,0,0,13,13,10,3,1,10.099,3
1993,,,,,,,,,,
1994,,,,,,,,,,
1995,,,,,,,,,,
1996,,,,,,,,,,
1997,,,,,,,,,,
1998,,,,,,,,,,
1999,,,,,,,,,,
2000,,,,,,,,,,
2001,,,,,,,,,,
2002,,,,,,,,,,
2003,,,,,,,,,,
2004,,,,,,,,,,
2005,,,,,,,,,,
2006,,,,,,,,,,
2007,,,,,,,,,,
2008,,,,,,,,,,
2009,,,,,,,,,,
2010,,,,,,,,,,
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
