Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,57.5,2,0,13,13,,,,14.052,4
1984,16.6,0,0,13,13,,,,1.999,4
1985,36.5,2,1.5,18,21,,,,16.36,4
1986,31.6,1,2.16,19,29,,,,20.56,4
1987,64.2,3,1.56,18,32,,,,21.832,4
1988,70.4,4,1.49,19,30,,,,31.254,4
1989,32.3,2,3.58,19,31,,,,24.908,4
1990,37.7,1,0,14,14,,,,9.032,4
1991,19.4,0,0.58,19,24,,,,13.484,4
1992,59,1,2.375,19,30,,,,17.205,4
1993,48.2,1,2.2,19,28,,,,20.272,4
1994,36.4,2,2.94,19,35,,,,18.188,4
1995,72.7,4,5.28,19,37,,,,29.908,4
1996,48.3,2,5.68,19,30,,,,20.744,4
1997,44.8,1,3.27,19,36,,,,23.232,4
1998,53.9,4,6.76,19,32,,,,25.316,4
1999,57.7,2,4.62,19,38,,,,26.18,4
2000,37.8,1,0.7,17,24,,,,17.2,4
2001,72.5,1,1.68,19,38,,,,15.412,4
2002,55.7,2,4,18,24,,,,24,3
2003,46.3,5,4.92,19,29,,,,31.816,4
2004,28.2,0,2.02,18,24,,,,15.889,4
2005,48.3,2,2.04,19,35,,,,26.736,4
2006,65.2,2,3.66,19,43,,,,15.816,4
2007,44.6,3,4.4,19,40,,,,24.552,4
2008,44.7,2,2.875,19,34,,,,18,4
2009,88.6,4,1.92,19,28,,,,28.564,4
2010,28,0,3.12,19,33,,,,19.416,4
2011,43.4,1,0,15,15,,,,14.836,4
2012,38,3,2.725,19,35,,,,18.31,4
2013,54.6,2,1.66,19,24,,,,23.532,4
2014,40.6,2,6.08,18,52,38,12,3,18.094,3
2015,69.9,1,0,4,4,3,3,2,6.51,3
