Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99
1983,47.7,5,19.25,18,83,71,29,16,32.828,3
1984,65.4,8,15.735,18,91,69,28,15,58.191,3
1985,126.7,10,24.5,17,83,67,37,23,51.398,3
1986,46,6,19.53,18,79,62,28,18,35.106,3
1987,94.5,16,26.76,18,75,64,31,22,60.41,3
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990,129,9,34.5,8,46,43,20,11,91.95,1
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992,55.2,12,20.575,16,68,67,31,17,48.319,3
1993,107.5,11,20.9,18,59,58,34,18,62.37,3
1994,49,4,14,15,65,59,26,11,44.442,3
1995,104,14,24.36,18,72,66,30,19,60.748,3
1996,97.2,13,23.3,18,77,69,29,19,68.224,3
1997,104.3,15,28.82,18,72,65,37,25,69.272,3
1998,90,6,16.41,18,66,62,25,14,75.998,3
1999,96,7,13.63,17,62,58,23,10,59.696,3
2000,108,6,17.68,15,62,52,23,12,55.146,3
2001,73,14,28.46,18,86,82,39,22,59.288,3
2002,80.4,10,15.11,18,78,72,32,15,44.812,3
2003,97,13,23.1,18,96,83,40,21,47.908,3
2004,63.7,9,17.44,18,92,81,30,17,51.24,3
2005,67,9,16.56,16,71,61,26,12,56.746,3
2006,81.2,13,27.325,18,83,75,40,24,63.95,3
2007,77,17,22.49,18,85,81,30,19,56.872,3
2008,90.8,11,20.89,18,74,69,38,21,58.477,3
2009,73.4,6,12.48,16,53,46,18,10,47.886,3
2010,114.5,5,18.85,18,73,64,27,16,36.89,3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
