Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,35.55257416,2,11.08443699,16,43,43,20,5,28.08578423,3,44
1984,49.02923584,4,15.8081542,16,54,54,32,11,31.04993797,3,28
1985,64.76759338,2,18.15571175,16,63,63,36,11,28.72985294,3,40
1986,80.5542984,4,10.49070225,16,48,48,20,9,32.03207249,3,28
1987,63.87223434,2,13.87537336,17,60,60,32,6,23.2215127,3,13
1988,91.9484787,2,15.94834499,15,67,65,26,7,26.41442791,3,52
1989,30.79948616,1,11.10503731,16,67,63,18,3,19.54427376,3,30
1990,37.39789963,2,8.250882435,16,55,54,9,4,25.04373072,3,35
1991,30.91296196,1,9.933519697,17,59,58,17,1,14.76190766,3,9
1992,37.02568817,1,10.58014193,18,74,73,20,5,23.80928015,3,3
1993,44.41864014,4,11.9507062,17,62,60,21,8,32.93200317,3,17
1994,47.18358231,5,13.74551291,17,64,59,24,9,41.4051984,3,9
1995,85.03448486,1,10.49671063,17,64,64,19,6,21.97053692,3,7
1996,48.47067261,5,15.93542604,18,70,69,32,11,37.84331581,3,0
1997,45.02607727,6,12.39444151,18,72,69,22,11,35.70027893,3,4
1998,65.96755981,5,4.097610021,17,39,29,15,9,41.32955559,3,8
1999,48.96543884,2,4.99603281,18,40,38,10,3,20.07038048,3,2
2000,49.95571899,1,4.829200482,18,34,29,8,2,17.97898703,3,0
2001,31.99008179,1,4.797952461,18,39,32,8,4,21.80571411,3,2
2002,32.98253632,2,3.844609427,18,28,26,10,2,17.18044666,3,0
2003,35.99691772,2,9.339301586,18,53,51,15,4,22.18217335,3,1
2004,31.81930923,1,3.379149973,18,30,29,4,1,11.33885002,3,1
2005,29.98361015,0,8.008276582,18,43,36,10,4,22.46719198,3,1
2006,26.97998619,0,9.772519302,18,56,49,17,5,21.72303844,3,0
2007,37.96754837,1,11.56817703,18,58,58,21,3,20.4260397,3,0
2008,49.96670151,4,8.501408577,18,36,30,16,5,31.64217249,3,0
2009,63.95279312,2,4.31045723,18,35,27,8,3,19.26021713,3,2
2010,61.93442154,3,8.490964699,18,46,41,14,7,31.00734245,3,0
2011,36.37524796,1,5.926319957,18,38,34,12,2,17.55749645,3,1
2012,31.9803524,1,10.33884249,18,38,36,19,3,18.98386877,3,0
2013,57.96585464,2,9.241532421,18,42,41,14,3,19.95859806,3,0
2014,44.68401337,2,15.35497665,18,72,72,38,12,29.72192894,3,2
