Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,99.80046844,7,20.30525856,16,57,53,28,16,48.25962387,3,44
1984,32.46125031,2,13.4712781,16,51,51,21,5,28.34528469,3,28
1985,82.12599182,7,19.16776829,16,90,90,51,15,42.00647728,3,40
1986,44.91011047,4,15.84906387,16,57,54,27,13,32.17262901,3,28
1987,43.66001892,3,17.45040245,17,78,78,44,10,33.18885988,3,13
1988,35.01267624,6,17.29572849,15,73,67,36,13,33.862351,3,52
1989,82.97735596,4,11.79908447,16,52,44,20,6,35.8892012,3,30
1990,44.99598312,3,7.00725379,16,41,34,12,5,29.95328135,3,35
1991,79.28729248,3,9.032296228,17,50,39,15,9,33.12922958,3,9
1992,119.7498398,4,7.997617221,18,57,48,13,7,44.52795242,3,3
1993,57.35876083,3,18.06776705,17,88,82,42,13,30.53887646,3,17
1994,166.6551208,4,8.978020906,17,55,46,15,7,36.97855076,3,9
1995,49.37586212,4,14.06893911,17,73,72,32,8,41.52784119,3,7
1996,55.4270401,2,17.06957874,18,88,85,46,10,27.2520196,3,0
1997,72.43053436,5,14.78884802,18,71,68,30,10,41.2498822,3,4
1998,41.99673843,4,7.094105434,17,54,37,14,10,34.44675461,3,8
1999,81.88535309,6,7.119319439,18,59,46,15,10,46.71045731,3,2
2000,48.95151901,3,8.441117191,18,48,38,14,6,28.96588181,3,0
2001,62.0852623,5,10.84464588,18,46,38,19,9,38.93533981,3,2
2002,48.90827179,5,5.766709089,18,34,31,10,7,42.98853912,3,0
2003,33.93088531,1,10.21869826,18,49,44,19,5,21.96354532,3,1
2004,40.91830444,2,4.997380376,18,42,36,8,5,27.34087915,3,1
2005,50.93797684,4,8.743065476,18,44,40,16,9,33.04747353,3,1
2006,42.91707611,3,8.543155813,18,54,47,14,4,24.67745373,3,0
2007,58.88352966,1,11.87330809,18,55,48,23,9,27.93599697,3,0
2008,49.98173904,3,11.97709517,18,52,45,20,6,29.58451666,3,0
2009,42.92098999,4,5.995574951,18,43,32,12,8,32.2850943,3,2
2010,38.93099213,1,7.426289558,18,55,51,13,3,19.86312725,3,0
2011,22.27534866,0,8.066506147,18,56,50,13,1,18.98203287,3,1
2012,66.93857574,1,10.72935886,18,65,56,19,8,23.33307402,3,0
2013,56.89386368,3,7.733266449,18,48,41,11,4,31.76622955,3,0
2014,57.76810455,3,17.36941719,18,77,74,41,11,29.20369812,3,2
