Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,20.47051239,0,0,8,8,5,2,1,9.347479906,3,44
1984,14.25954056,0,0,12,12,12,3,0,9.801262112,3,28
1985,88.4736557,1,6.234650373,16,22,22,11,4,24.46820393,3,40
1986,92.03298187,2,9.358014011,16,20,20,15,3,19.60252716,3,28
1987,49.9080162,1,5.011775732,17,21,21,12,4,22.68001892,3,13
1988,59.64528656,1,6.235723495,15,26,24,9,1,14.5661862,3,52
1989,25.31265831,0,4.989275551,16,28,28,8,2,17.9883548,3,30
1990,28.95580673,0,0,13,13,11,4,3,17.52118633,3,35
1991,18.96982193,0,1.058867335,17,18,18,3,0,12.3893566,3,9
1992,26.95873833,0,0.998455691,18,19,17,6,3,15.18552719,3,3
1993,39.3960495,2,3.60118413,17,22,22,8,2,16.58738972,3,17
1994,98.99401093,3,4.000004196,17,25,23,12,5,26.0088871,3,9
1995,34.89587021,2,5.009993672,17,28,28,10,5,24.05501148,3,7
1996,66.59958649,3,4.917338943,18,23,23,12,4,26.27245926,3,0
1997,31.8142662,2,4.023230505,18,26,24,9,5,22.05941406,3,4
1998,43.94725418,2,2.004930782,17,25,20,6,3,20.39549946,3,8
1999,51.99225616,3,1.798805618,18,29,21,6,3,22.74568893,3,2
2000,45.9165535,1,1.655247015,18,22,19,6,1,13.32279738,3,0
2001,31.0541935,1,0,17,17,14,7,4,23.3454248,3,2
2002,18.97715569,0,0,12,12,9,4,0,10.35657747,3,0
2003,15.97320557,0,0,16,16,14,4,0,10.80894246,3,1
2004,18.99643326,0,0.904624328,18,20,18,1,0,6.206769729,3,1
2005,131.9520874,1,0,17,17,15,6,3,20.14665384,3,1
2006,37.93146133,1,0,14,14,10,3,3,13.43577589,3,0
2007,30.96273041,1,4.008706856,18,23,22,6,2,15.27986263,3,0
2008,21,0,1.99861964,18,20,19,6,1,13.30346727,3,0
2009,13.99854374,0,0.898918653,18,19,15,3,0,9.634033852,3,2
2010,21.9759388,0,0.739048362,18,20,15,4,1,11.59326799,3,0
2011,39.95193481,1,0,12,12,12,4,1,10.69513516,3,1
2012,62.12521362,2,2.58683722,18,22,20,7,2,19.42254541,3,0
2013,19.97261047,0,3.417370462,18,26,24,5,0,11.48693884,3,0
2014,29.54477501,0,7.687499619,18,36,35,9,3,18.1727227,3,2
