Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,62.69995499,3,1.998833692,16,17,17,6,4,46.04932571,3,44
1984,25.80052185,0,5.779542112,16,21,21,11,3,20.43690739,3,28
1985,41.69656372,2,12.90989637,16,43,43,23,5,20.57324375,3,40
1986,30.91914177,1,8.321482468,16,27,26,12,5,26.25273922,3,28
1987,57.24985123,1,7.777188897,17,27,27,13,5,23.68351885,3,13
1988,54.95598984,3,7.554883051,15,36,32,11,4,40.9810215,3,52
1989,29.99027443,0,2.998940086,16,29,23,7,3,20.63631737,3,30
1990,80.99475098,1,1.814286745,16,22,17,6,2,14.68556963,3,35
1991,30.98395538,1,2.618624866,17,23,22,6,2,16.71661535,3,9
1992,70.96560669,5,3.90792805,18,31,30,11,8,46.45783684,3,3
1993,48.46717453,2,7.628395534,17,35,35,10,4,25.41855972,3,17
1994,41.97097397,4,7.129202604,17,41,39,12,6,34.39493267,3,9
1995,53.50457382,3,10.5624918,17,38,37,19,7,28.99204916,3,7
1996,43.76388168,3,12.48252182,18,47,46,21,8,29.00041002,3,0
1997,41.50998688,2,7.501635742,18,37,36,13,6,26.31105175,3,4
1998,63.98245239,1,2.999203253,17,26,24,8,5,23.26462269,3,8
1999,94.96588898,5,4.799370861,18,27,27,14,11,37.30903122,3,2
2000,70.97953033,1,0,17,17,16,6,3,17.62473655,3,0
2001,64.99180603,3,5.800023651,18,32,30,14,8,29.64694901,3,2
2002,20.9946537,0,0,17,17,14,2,1,8.339341288,3,0
2003,32.9968605,1,2.002342612,18,28,20,8,3,21.52413387,3,1
2004,41.98715973,1,0,17,17,15,4,2,17.69536247,3,1
2005,40.99205399,2,4.013969779,18,28,25,11,3,21.48399687,3,1
2006,43.99580383,2,5.699320555,18,35,31,11,4,24.37268669,3,0
2007,55.98904037,5,7.052155066,18,36,33,16,9,40.03346207,3,0
2008,53.98295975,1,1.999631327,18,29,21,9,5,23.975117,3,0
2009,48.99167252,2,1.789710164,18,26,19,7,3,19.31723022,3,2
2010,55.97659683,2,4.854265881,18,24,24,10,5,25.92743042,3,0
2011,16.98918915,0,3.897936583,18,30,29,5,0,12.69638996,3,1
2012,87.98959351,2,2.672922611,18,24,20,5,3,18.95089089,3,0
2013,25.99784851,0,0.999766737,18,22,17,6,4,21.67703571,3,0
2014,44.83417892,4,13.21073494,18,42,42,26,8,31.21124611,3,2
