Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,118.531311,3,12.2386939,16,56,55,21,7,43.26465691,3,44
1984,25.648983,0,12.16010818,16,51,51,24,6,21.58283958,3,28
1985,40.03910446,7,20.03913708,16,67,67,37,16,33.98700897,3,40
1986,48.7991066,1,13.51935177,16,46,46,25,9,28.05551292,3,28
1987,47.90828705,1,14.92385459,17,59,59,31,9,27.32701851,3,13
1988,72.2358017,3,15.30787363,15,73,72,24,10,32.24392544,3,52
1989,70.51284027,2,7.854873848,16,76,76,14,4,29.00469376,3,30
1990,30.31886864,1,7.212017107,16,53,53,10,2,16.50575262,3,35
1991,96.75138855,3,8.548832226,17,73,70,14,4,27.49085539,3,9
1992,30.8571434,1,8.697864628,18,69,69,14,6,26.28251513,3,3
1993,110.1259842,1,13.58182817,17,71,71,28,6,27.34070917,3,17
1994,58.72851944,4,10.57105131,17,56,55,19,9,32.69289505,3,9
1995,41.15425491,2,11.28764415,17,61,60,22,3,21.90108271,3,7
1996,56.06007767,2,14.95605574,18,72,72,33,8,23.66222206,3,0
1997,55.26426315,4,12.23656616,18,69,68,28,10,31.03118874,3,4
1998,79.88500977,4,6.985031605,17,44,40,11,8,44.86923157,3,8
1999,209.1632538,3,4.789821625,18,46,39,11,5,37.07669434,3,2
2000,69.76008606,2,5.502814126,18,40,36,7,4,21.73603193,3,0
2001,36.00000381,1,5.59500618,18,42,35,13,7,23.95575073,3,2
2002,59.83672714,3,4.169594789,18,31,27,9,4,30.57928802,3,0
2003,36.87830734,1,6.989709258,18,50,44,8,2,18.09527979,3,1
2004,19.9784584,0,5.079772234,18,42,38,6,0,15.43592033,3,1
2005,49.86222458,6,6.186413765,18,38,37,11,7,35.09893303,3,1
2006,85.72747803,6,5.274213266,18,41,37,10,8,46.68172661,3,0
2007,32.91397095,1,7.748782444,18,47,44,11,4,23.37717068,3,0
2008,35.89336777,2,5.982412648,18,37,33,9,5,24.95503826,3,0
2009,51.92720413,4,5.753217793,18,33,31,12,6,39.25530289,3,2
2010,33.90031433,2,7.913951683,18,39,39,13,4,23.25341465,3,0
2011,49.9421196,1,9.672641039,18,58,56,16,2,17.99729185,3,1
2012,31.69845772,1,10.73747811,18,80,79,20,3,19.5204496,3,0
2013,43.32064438,1,9.039449883,18,68,68,15,2,18.08707767,3,0
2014,63.38853836,2,14.8299902,18,84,84,36,11,28.32229485,3,2
