Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,56.94399643,7,17.67936783,16,89,88,41,13,46.66273071,3,44
1984,48.60702515,8,19.99129505,16,71,71,39,16,36.07362915,3,28
1985,65.30431366,7,18.39095573,16,85,85,43,12,48.00883263,3,40
1986,89.28549957,2,19.24806137,16,87,87,48,14,27.12593307,3,28
1987,93.28184509,4,16.50007057,17,92,91,49,12,31.31731964,3,13
1988,55.5358429,3,20.25727081,15,107,107,56,16,31.20953663,3,52
1989,39.36405945,3,16.77088737,16,92,92,38,13,29.77896416,3,30
1990,37.41575241,4,19.18620052,16,111,111,47,14,34.00506729,3,35
1991,37.42261887,2,16.67092676,17,97,97,46,8,27.14303747,3,9
1992,48.28248215,5,17.79946985,18,104,104,42,15,32.60554861,3,3
1993,33.64219666,2,14.85314126,17,97,96,37,8,26.40126005,3,17
1994,44.08308411,3,17.28797674,17,116,116,41,12,32.10241119,3,9
1995,42.5924263,5,17.73894558,17,89,88,36,15,37.66371181,3,7
1996,52.51489258,4,17.28499203,18,110,109,33,13,35.20958652,3,0
1997,33.17155838,3,13.6445425,18,83,83,32,9,28.91319962,3,4
1998,55.98920059,6,10.00194569,17,79,72,17,9,38.93936317,3,8
1999,101.9519119,4,8.970838356,18,60,56,16,8,34.24965744,3,2
2000,31.99012375,1,9.079797935,18,76,68,15,2,18.81794649,3,0
2001,102.1686478,5,12.91135159,18,80,69,26,8,37.34850342,3,2
2002,63.97311783,4,11.82199869,18,61,59,21,5,38.89596268,3,0
2003,102.1996613,7,13.95842195,18,84,78,28,11,51.23465252,3,1
2004,34.99994278,1,10.14923549,18,79,76,18,4,23.69813662,3,1
2005,41.76854324,2,10.34816003,18,78,76,19,6,25.09497519,3,1
2006,46.98502731,4,12.82351284,18,91,81,25,7,34.30540337,3,0
2007,48.99996185,1,17.69984245,18,72,70,27,13,26.99397633,3,0
2008,56.98765564,2,10.97092695,18,82,74,19,7,24.97998722,3,0
2009,66.97838593,2,11.24374485,18,71,62,20,7,24.99351974,3,2
2010,35.83539963,2,11.33668184,18,84,77,24,5,21.10622635,3,0
2011,51.99989319,3,13.67106652,18,95,91,30,8,29.14018545,3,1
2012,65.87593842,3,15.77593932,18,101,101,37,10,30.16576981,3,0
2013,34.70711899,1,15.38021984,18,110,110,35,5,24.59533386,3,0
2014,40.96283722,4,17.54117508,18,115,115,55,11,30.96585022,3,2
