Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,104.9782333,3,4.461550808,16,22,20,9,5,30.36028862,3,44
1984,15.89408398,0,0,14,14,14,5,0,13.26994312,3,28
1985,47.42787933,4,14.75996275,16,35,35,23,11,30.72284058,3,40
1986,67.11696625,5,10.76378479,16,23,21,17,6,34.82179924,3,28
1987,45.60048294,2,11.57589436,17,36,36,20,5,26.98608612,3,13
1988,80.03971863,3,11.69730301,15,37,35,17,8,34.28830292,3,52
1989,20.83218956,0,4.094842625,16,28,26,8,1,13.25294373,3,30
1990,28.99563217,0,0,9,9,6,1,1,6.846570401,3,35
1991,28.52970123,0,0.518244925,17,18,14,4,1,12.89551247,3,9
1992,36.99683762,1,2.500109828,18,27,22,8,3,20.02885391,3,3
1993,105.8431091,1,11.16521134,17,42,42,18,7,23.46265852,3,17
1994,27.94257164,0,3.884622371,17,35,33,8,3,19.36725447,3,9
1995,94.75228882,2,8.934090471,17,43,42,15,8,28.17935911,3,7
1996,63.52464676,2,8.070048094,18,43,43,15,4,21.40341696,3,0
1997,37.93017578,2,5.820300531,18,27,27,11,5,26.05911968,3,4
1998,39.91917419,2,0,16,16,13,3,3,13.54464383,3,8
1999,63.86579132,3,2.81372695,18,29,27,8,3,26.43374634,3,2
2000,19.97449493,0,1.073024935,18,24,21,4,0,13.774487,3,0
2001,63.93553543,1,0.24455471,18,18,14,4,2,10.89332092,3,2
2002,24.95554161,0,0,12,12,11,5,2,12.15543638,3,0
2003,22.70116425,0,2.99325788,18,21,20,8,2,18.98693161,3,1
2004,32.99494934,1,0,15,15,13,2,1,8.682901812,3,1
2005,38.91190338,3,4.753087044,18,29,27,11,3,23.80360003,3,1
2006,46.90566635,1,5.038904619,18,30,29,6,2,13.73947195,3,0
2007,36.9591713,1,7.611115456,18,34,31,12,2,17.97657848,3,0
2008,31.5,1,2.335731196,18,25,20,3,2,11.23193561,3,0
2009,15.96437073,0,0,15,15,14,2,0,7.982117443,3,2
2010,44.91173553,1,1.696581411,18,20,18,5,2,17.98848331,3,0
2011,37.16435242,1,0,14,14,11,2,1,8.504218817,3,1
2012,41.28714752,1,0,17,17,16,3,1,10.64348847,3,0
2013,39.91410828,2,0,13,13,9,4,2,14.98444645,3,0
2014,37.69350433,1,11.07764301,18,44,44,22,4,22.94133873,3,2
