Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,31.35752106,1,0,13,13,11,2,1,8.0474683,3,44
1984,10.40281582,0,0,5,5,5,1,0,6.985916824,3,28
1985,65.69689941,1,0,14,14,14,4,2,12.84587343,3,40
1986,24.04912949,0,1.589661694,16,18,17,7,2,16.14658791,3,28
1987,54.92093658,1,0.323339635,17,17,15,8,2,17.08390512,3,13
1988,32.59934998,1,7.481739902,15,37,33,13,3,20.1314492,3,52
1989,7.273414135,0,2.499951935,16,29,22,0,0,7.056942825,3,30
1990,13.38329697,0,0,11,11,9,1,0,4.540433469,3,35
1991,11.43129921,0,0,16,16,8,1,0,7.073491154,3,9
1992,12.02472687,0,0.462447104,18,21,14,2,0,7.0767975,3,3
1993,19.33663177,0,2.37537185,17,20,19,7,0,14.01740302,3,17
1994,22.59300613,0,3.314993334,17,30,25,7,1,13.29167538,3,9
1995,25.21401596,0,4.694503093,17,25,21,8,2,18.23010782,3,7
1996,34.31238556,1,4.804901719,18,37,31,9,3,19.08611351,3,0
1997,23.43363953,0,2.347665739,18,26,22,2,1,9.314259148,3,4
1998,40.57085037,1,3.460778236,17,26,24,5,1,11.42134249,3,8
1999,19.34111404,0,3.851130009,18,32,27,3,0,10.3927103,3,2
2000,13.04295254,0,0.960823926,18,21,18,2,0,7.969390469,3,0
2001,40.4797554,2,4.658919048,18,32,26,8,5,23.13359489,3,2
2002,9.504266739,0,0.362418228,18,19,16,0,0,7.624963026,3,0
2003,20.76291466,0,2.855552197,18,26,25,5,1,12.9850316,3,1
2004,37.68780899,1,0.260132074,18,18,13,3,2,9.906555653,3,1
2005,48.14078903,1,2.055001795,18,26,23,5,1,15.06449533,3,1
2006,21.26104355,0,1.136160791,18,21,18,2,1,8.186243572,3,0
2007,30.01266098,1,3.676080394,18,29,25,9,2,14.45554468,3,0
2008,10.34244537,0,1.28417756,18,24,21,1,0,7.825458956,3,0
2009,19.39249611,0,0.619786501,18,18,17,4,0,11.28439056,3,2
2010,28.40761757,0,3.613932729,18,29,26,3,1,10.1399836,3,0
2011,8.09200573,0,0,12,12,11,0,0,5.382317996,3,1
2012,37.48506927,1,3.008106172,18,22,22,6,2,12.47880084,3,0
2013,17.10699081,0,2.150245214,18,24,21,4,0,11.24954947,3,0
2014,49.62578583,1,5.536773396,18,27,26,10,3,20.17449432,3,2
