Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,141.6064911,2,9.905864334,16,31,30,16,4,26.71724747,3,44
1984,33.0127182,1,6.88660388,16,36,36,8,3,20.71649281,3,28
1985,58.51810074,2,17.12642899,16,55,55,34,11,28.7437381,3,40
1986,45.02333069,2,11.72656956,16,29,29,18,8,25.99606693,3,28
1987,95.90882111,3,10.41475368,17,45,45,18,8,29.05506624,3,13
1988,58.94193649,2,10.92842236,15,41,40,17,9,29.83409477,3,52
1989,89.60586548,3,6.959583473,16,34,32,13,5,38.02144829,3,30
1990,22.87707138,0,1.586867726,16,22,17,4,1,15.3629659,3,35
1991,34.80355072,1,2.32301842,17,31,25,7,1,16.77226514,3,9
1992,30.8571434,1,0.920320988,18,20,17,4,1,12.79796453,3,3
1993,65.13694,3,12.2093596,17,43,43,20,6,32.12919415,3,17
1994,50.47782516,1,4.263609982,17,30,26,9,4,24.9067642,3,9
1995,30.09193993,1,10.88037629,17,46,44,20,3,20.71972212,3,7
1996,35.51872635,2,10.34756622,18,44,44,20,6,25.6117837,3,0
1997,39.59716415,2,8.842930031,18,42,39,14,7,28.47782391,3,4
1998,74.55059814,3,1.993964374,17,33,32,7,4,31.43705254,3,8
1999,54.48942566,2,3.194549751,18,36,30,8,3,20.27834366,3,2
2000,55.65671539,1,2.706009376,18,27,21,7,2,17.55932354,3,0
2001,30.8571434,2,3.785138893,18,31,25,10,5,27.98206703,3,2
2002,46.79971313,1,0,17,17,16,4,2,11.92218754,3,0
2003,49.64515686,2,5.951759458,18,29,27,9,6,26.86461334,3,1
2004,5.950687408,0,0.71828673,18,24,12,0,0,4.535731173,3,1
2005,101.1554794,4,4.219022393,18,35,28,11,4,33.12394352,3,1
2006,31.71597099,1,1.957605743,18,24,21,8,5,23.48980957,3,0
2007,50.52355194,3,10.50764198,18,38,34,18,6,30.24704163,3,0
2008,38.71372986,2,0.888246465,18,24,17,7,3,20.85938015,3,0
2009,57.50341797,2,3.70398984,18,30,24,8,3,20.92430511,3,2
2010,29.77346039,0,3.589473391,18,26,22,8,3,18.28519516,3,0
2011,41.63695145,2,0.997104257,18,20,17,8,4,22.66593113,3,1
2012,38.85985947,4,5.051519704,18,32,29,12,7,35.15982079,3,0
2013,34.65748978,3,3.966477442,18,24,21,8,4,27.53146812,3,0
2014,108.443634,1,14.21165733,18,61,59,27,8,22.08767288,3,2
