Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,39.3079567,3,18.35122128,16,74,73,39,13,30.48907864,3,44
1984,41.8500824,5,17.50358887,16,66,66,34,12,32.6577079,3,28
1985,40.02774811,3,19.26247559,16,75,75,42,14,33.78613209,3,40
1986,43.94932175,5,20.15842743,16,56,56,36,17,37.54498024,3,28
1987,39.71274948,5,17.479809,17,64,64,33,10,31.56920259,3,13
1988,58.36328888,8,15.466747,15,88,87,29,9,39.37963516,3,52
1989,62.13328934,4,14.09368362,16,92,85,29,12,40.35390076,3,30
1990,53.1519928,2,9.494375706,16,92,83,14,4,27.12554253,3,35
1991,44.78375244,2,9.381333017,17,114,97,15,8,23.4271508,3,9
1992,61.18195343,2,8.964067698,18,95,84,13,4,22.99717268,3,3
1993,67.93188477,3,17.76753044,17,83,81,32,14,30.55933167,3,17
1994,50.48044205,4,14.78618584,17,99,99,34,6,34.18327435,3,9
1995,72.48632813,5,16.07189322,17,80,80,40,13,41.50591881,3,7
1996,42.13719177,3,21.28529253,18,83,83,45,19,29.0769878,3,0
1997,63.10338974,6,14.75347424,18,99,99,27,9,40.20875008,3,4
1998,38.70789719,3,7.929793644,17,84,74,12,6,29.59079498,3,8
1999,44.52603531,7,12.41546021,18,100,88,24,12,37.56323593,3,2
2000,79.21151733,5,10.67383885,18,80,76,19,12,45.6205743,3,0
2001,39.78036118,4,12.75148239,18,96,89,25,11,32.11081223,3,2
2002,49.79036331,3,7.223591995,18,76,70,11,4,29.77774158,3,0
2003,51.69543839,3,9.539634943,18,88,82,17,6,25.16138039,3,1
2004,79.81302643,2,7.19424057,18,76,68,13,6,25.68402157,3,1
2005,54.29524231,6,8.983834982,18,86,81,15,8,33.80198631,3,1
2006,33.59194946,2,10.20835171,18,85,76,18,6,27.43430023,3,0
2007,29.73122025,0,13.73636017,18,92,89,32,8,26.90745968,3,0
2008,41.05228043,4,9.219789791,18,82,73,16,4,36.5884898,3,0
2009,22.97783661,0,8.444046116,18,84,81,13,2,18.90758377,3,2
2010,44.09228516,1,10.99004927,18,79,75,24,4,21.5458094,3,0
2011,44.14230347,1,11.01527929,18,78,76,20,4,22.34439039,3,1
2012,40.7949791,1,13.54448495,18,88,88,34,8,24.67129225,3,0
2013,25.18356895,0,12.61447735,18,81,81,27,5,22.16480793,3,0
2014,38.29610062,3,19.46598244,18,94,94,44,17,28.14235847,3,2
