Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,63.11413193,7,17.09464664,16,90,90,37,13,42.02039841,3,44
1984,66.78725433,10,23.0333128,16,98,98,52,19,42.74104813,3,28
1985,45.41668701,6,20.50544147,16,104,104,60,17,37.58768188,3,40
1986,56.94338989,10,20.93215351,16,106,106,45,18,46.34118362,3,28
1987,77.72057343,10,22.16527119,17,97,96,54,24,42.39068108,3,13
1988,74.8917923,8,22.50184326,15,98,97,47,19,40.94261566,3,52
1989,41.45520401,4,17.46129761,16,101,99,55,12,32.92325699,3,30
1990,72.30776978,3,17.96436052,16,110,109,49,11,35.734911,3,35
1991,71.4513855,2,15.22857976,17,102,101,45,7,28.14448523,3,9
1992,53.31005859,3,15.36774669,18,99,99,44,11,30.98910324,3,3
1993,33.80682755,4,19.06047421,17,108,106,41,15,31.43596567,3,17
1994,86.07645416,11,22.00179214,17,102,101,44,22,49.59769127,3,9
1995,51.3420105,5,15.60695825,17,105,105,47,12,31.17589642,3,7
1996,86.26490021,7,20.59304142,18,122,122,57,19,43.17454517,3,0
1997,146.6614685,6,15.8590888,18,116,116,40,7,42.03371819,3,4
1998,41.24526978,1,18.46224556,17,113,113,41,15,28.05433594,3,8
1999,76.99990082,7,18.76337433,18,80,74,35,15,40.10505142,3,2
2000,49.99434662,5,13.6512733,18,66,53,24,9,37.32576015,3,0
2001,46.99104691,2,11.92201595,18,88,86,29,5,28.72420486,3,2
2002,43.71213913,4,16.71119308,18,119,119,50,8,34.03757339,3,0
2003,67.80342102,4,17.63473129,18,119,118,44,10,38.56666737,3,1
2004,26.54768372,0,14.4599421,18,112,110,42,4,22.20992746,3,1
2005,53.28151321,4,14.18102813,18,96,96,35,7,32.66789055,3,1
2006,38.54879761,4,16.33388863,18,110,109,37,11,30.95849598,3,0
2007,44,1,16.81588001,18,123,121,51,9,25.95382519,3,0
2008,34.57355499,3,18.74754877,18,110,110,53,13,26.98390118,3,0
2009,32.47475433,2,17.88714409,18,113,113,56,15,28.19669899,3,2
2010,39.67508698,2,15.15216198,18,102,100,40,8,29.32183674,3,0
2011,37.54970932,3,15.72255635,18,102,102,43,10,29.28619766,3,1
2012,33.19873428,3,16.61704092,18,115,113,45,13,28.40400894,3,0
2013,28.34605408,0,16.84794064,18,105,105,55,7,21.23201344,3,0
2014,49.78059387,2,18.63754959,18,119,119,62,14,26.26831581,3,2
