Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,16.36968231,0,0,10,10,8,1,0,4.657472682,3,44
1984,10.61208534,0,0,5,5,5,1,0,5.171268778,3,28
1985,63.9134407,1,0,14,14,14,5,1,14.16435986,3,40
1986,24.19091606,0,0,15,15,14,6,2,16.57135983,3,28
1987,55.29341888,1,0,16,16,16,8,2,18.56035698,3,13
1988,33.71694183,1,6.06301856,15,36,33,9,2,19.38508228,3,52
1989,10.55844307,0,3.25231266,16,32,25,1,0,8.219640102,3,30
1990,10.57225609,0,0,9,9,7,1,0,4.876251245,3,35
1991,10.58299065,0,0,13,13,8,1,0,6.120003223,3,9
1992,11.053545,0,0.424248128,18,21,16,1,0,7.357436328,3,3
1993,17.22195435,0,2.439771247,17,19,18,4,0,13.15753253,3,17
1994,20.72114944,0,2.733816195,17,29,26,7,1,11.97380231,3,9
1995,24.50178909,0,2.912396049,17,27,24,10,4,20.80149242,3,7
1996,54.33698273,2,4.637576222,18,34,33,9,4,27.21634012,3,0
1997,24.53286171,0,3.702318597,18,29,26,3,1,9.984683247,3,4
1998,31.99996567,1,5.073882198,17,32,29,3,1,10.4444622,3,8
1999,18.87710762,0,4.618965054,18,31,28,5,0,10.87116211,3,2
2000,11.57604122,0,0,16,16,14,2,0,8.314275341,3,0
2001,36.83820724,1,5.114064407,18,32,28,9,6,23.46345444,3,2
2002,13.87636948,0,1.262189221,18,21,18,2,0,7.162586718,3,0
2003,22.76905632,0,3.799826264,18,27,26,5,1,13.17344069,3,1
2004,28.02660751,0,0.383374482,18,18,17,3,2,9.050009322,3,1
2005,43.21528625,1,1.852019906,18,23,22,2,1,8.357811975,3,1
2006,13.8692503,0,0,17,17,17,2,0,6.717707729,3,0
2007,26.4565506,0,3.346841955,18,25,24,11,2,16.93594193,3,0
2008,12.71746922,0,1.456556213,18,21,20,2,0,7.761677527,3,0
2009,20.95651627,0,1.477127802,18,19,18,3,1,10.1963443,3,2
2010,28.6168499,0,2.899556637,18,31,28,3,1,10.25130205,3,0
2011,12.68515205,0,0,13,13,13,1,0,7.911990643,3,1
2012,36.5958519,1,2.362118757,18,20,19,7,2,14.01862504,3,0
2013,16.63389206,0,2.622219372,18,22,20,4,0,11.39648714,3,0
2014,45.79469681,1,5.562479591,18,23,23,8,1,17.23560287,3,2
