Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,9.135705948,0,0,8,8,7,0,0,2.032573593,3,44
1984,4.385735035,0,0,2,2,2,0,0,0,2,28
1985,4.626512051,0,0,5,5,4,0,0,1.457733767,3,40
1986,26.3817234,0,0,6,6,5,2,1,4.498170066,3,28
1987,67.61541748,2,0,16,16,15,3,3,14.66399341,3,13
1988,14.20995045,0,0,10,10,8,1,0,2.895438757,3,52
1989,16.5464344,0,0,7,7,7,1,0,4.238290691,3,30
1990,3.323079109,0,0,5,5,5,0,0,1.399658525,3,35
1991,8.776861191,0,0,10,10,8,0,0,2.787660823,3,9
1992,15.83395195,0,0,9,9,8,1,0,3.452085111,3,3
1993,11.9119215,0,0,13,13,12,1,0,5.217867565,3,17
1994,4.846016407,0,0,13,13,13,0,0,2.15973254,3,9
1995,8.901230812,0,0,8,8,8,0,0,3.270127511,3,7
1996,22.18490791,0,0,10,10,9,3,2,9.552323351,3,0
1997,51.22795105,1,0.63201642,18,18,17,2,1,7.114368839,3,4
1998,6.162203789,0,0,16,16,13,0,0,2.814464407,3,8
1999,19.59689713,0,0,13,13,12,2,0,7.793128014,3,2
2000,10.35575581,0,0,15,15,14,1,0,5.105999212,3,0
2001,11.02484894,0,0,10,10,10,1,0,5.409747334,3,2
2002,3.154488802,0,0,7,7,5,0,0,2.162794814,3,0
2003,9.000000954,0,0,7,7,7,0,0,4.96301198,3,1
2004,11.42808342,0,0,7,7,5,1,0,1.845485538,3,1
2005,17.58582497,0,0,11,11,10,1,0,4.066970849,3,1
2006,7.526180744,0,0,8,8,8,0,0,3.711335878,3,0
2007,3.757395983,0,0,6,6,6,0,0,3.411657705,3,0
2008,29,0,0,7,7,7,2,1,6.73621788,3,0
2009,4.915222168,0,0,5,5,4,0,0,2.805383034,3,2
2010,6.057788372,0,0,9,9,6,0,0,2.803379226,3,0
2011,8.808647156,0,0,7,7,6,0,0,4.772946417,3,1
2012,6.829798698,0,0,4,4,4,0,0,1.779334614,3,0
2013,6.193072796,0,0,8,8,6,0,0,2.469407239,3,0
2014,15.29509068,0,0,13,13,11,1,0,4.746954269,3,2
