Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,0.290513456,0,0,1,1,0,0,0,0,1,0
1984,0.162992194,0,0,2,1,0,0,0,0,2,0
1985,3.267395496,0,0,3,2,1,0,0,0.011157971,3,0
1986,0.467499167,0,0,1,1,0,0,0,0,1,0
1987,6.701438427,0,0,8,7,2,0,0,0.625572026,2,0
1988,4.347052574,0,0,5,4,3,0,0,1.47576467,3,0
1989,0.264934123,0,0,1,1,0,0,0,0,1,0
1990,0,0,0,0,0,0,0,0,0,0,0
1991,0.140496239,0,0,2,2,0,0,0,0,2,0
1992,4.423168182,0,0,8,4,2,0,0,0.255737005,3,0
1993,2.726933002,0,0,6,4,1,0,0,0.106871359,3,0
1994,4.455373764,0,0,5,5,3,0,0,1.041013775,3,0
1995,3.634048939,0,0,6,6,4,0,0,2.088246584,2,0
1996,0.257515609,0,0,1,1,0,0,0,0,1,0
1997,2.990138054,0,0,6,2,1,0,0,0.091850325,2,0
1998,3.522136211,0,0,1,1,1,0,0,0,1,0
1999,7.79085207,0,0,5,3,1,0,0,0.073918781,3,0
2000,0.162281707,0,0,2,1,0,0,0,0,2,0
2001,0.008235951,0,0,2,0,0,0,0,0,2,0
2002,3.598680973,0,0,1,1,1,0,0,0,1,0
2003,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0
2005,0.795754254,0,0,1,1,0,0,0,0,1,0
2006,4.236829281,0,0,3,2,2,0,0,0.026300162,3,0
2007,9.325003624,0,0,2,2,2,0,0,0,2,0
2008,0.462038368,0,0,2,1,0,0,0,0,2,0
2009,2.048275948,0,0,3,3,3,0,0,0.345767179,3,0
2010,9.132937431,0,0,3,3,3,0,0,0.518788209,3,0
2011,2.436280251,0,0,1,1,1,0,0,0,1,0
2012,0.032842502,0,0,1,0,0,0,0,0,1,0
2013,2.53090167,0,0,4,4,3,0,0,0.792795298,3,0
2014,5.572728157,0,0,5,4,2,0,0,0.403833848,3,0
