Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,21.38131332,0,7.73711257,18,59,56,13,2,16.86062183,3,0
1984,18.86779404,0,5.250482845,18,65,57,7,0,14.0534638,3,0
1985,28.69201851,0,9.033262062,18,69,65,12,3,19.98800503,3,0
1986,38.89785385,1,8.681055164,18,61,58,14,1,18.09490734,3,0
1987,14.88912964,0,7.294510126,18,64,63,9,0,12.22293331,3,0
1988,44.66002274,1,13.65052958,18,71,68,28,5,22.17442999,3,0
1989,27.34540749,0,8.740291595,18,77,71,12,1,16.86960899,3,0
1990,19.08184814,0,9.37124424,18,62,62,13,0,14.55588505,3,0
1991,28.96048355,0,10.11897221,18,67,62,18,5,20.51864964,3,0
1992,26.2878437,0,11.34849958,18,79,77,23,6,22.55451563,3,0
1993,22.11502457,0,7.964262819,18,73,68,9,1,12.62037296,3,0
1994,31.74346542,1,10.04164362,18,75,75,18,1,16.23015589,3,0
1995,30.59108543,1,8.359858513,16,71,71,15,2,15.54814915,3,0
1996,20.73054886,0,9.036892891,17,72,70,15,1,16.29298861,3,0
1997,17.19605255,0,9.173033237,18,90,86,11,0,14.33107819,3,0
1998,44.00326538,1,12.07579613,18,73,73,23,4,24.29922031,3,0
1999,17.69935226,0,8.834893227,17,82,81,9,0,13.3738353,3,0
2000,21.39600182,0,7.654169679,18,81,80,10,1,17.43565998,3,0
2001,39.96973801,1,7.331706476,18,71,70,7,2,17.91994164,3,0
2002,38.6090889,1,9.605273914,18,68,68,16,4,23.33576077,3,0
2003,29.34648705,0,9.642775631,18,67,64,17,3,18.65146725,3,0
2004,12.14235878,0,4.139485216,18,58,58,1,0,6.708610058,2,0
2005,19.49918747,0,6.515762568,18,74,74,6,0,13.63891737,3,0
2006,19.93754005,0,5.624980307,18,85,83,3,0,10.29635326,3,0
2007,33.72574234,1,9.906227303,18,71,70,17,3,20.10657135,3,0
2008,13.34371281,0,6.138373852,17,65,62,6,0,11.82432737,3,0
2009,18.33100319,0,6.4972229,17,71,71,7,0,14.40321972,3,0
2010,20.50526619,0,9.626380157,18,71,70,17,2,17.60463158,3,0
2011,37.28835297,1,9.380042648,18,67,66,14,1,17.96187977,3,0
2012,33.85147476,1,8.720866156,18,66,65,16,3,19.56120411,3,0
2013,24.72650528,0,8.57289505,18,80,78,15,1,15.96994686,2,0
2014,29.40831375,0,10.12066174,17,75,72,19,3,20.67992783,3,0
