Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,46.2882843,3,9.455459976,18,86,79,16,6,29.14913078,3,0
1984,35.83882904,1,11.06927395,16,69,67,21,6,24.5256967,3,0
1985,40.52463913,1,9.907347965,18,84,81,17,4,21.15243343,3,0
1986,34.97792435,3,10.33117008,18,70,70,21,4,24.78516544,3,0
1987,41.42197418,3,10.95023003,18,86,84,20,6,31.30660248,3,0
1988,25.36466408,0,13.10258851,18,99,95,29,4,22.16230671,3,0
1989,35.80292511,2,13.65091019,18,88,85,29,6,29.34850616,3,0
1990,19.22076416,0,10.028759,18,71,71,18,0,17.60846062,3,0
1991,27.02889252,0,11.32012844,17,88,88,22,4,22.91599773,3,0
1992,34.31389999,3,9.663826752,18,81,78,17,3,24.0353866,3,0
1993,29.07683563,0,13.22920046,18,81,81,34,9,22.96647644,2,0
1994,26.41448021,0,10.86183252,18,67,67,20,7,22.6772747,2,0
1995,18.25144958,0,8.295771217,18,88,88,14,0,14.09465897,3,0
1996,36.57007217,1,12.13560028,18,95,94,25,2,19.05436651,3,0
1997,26.12518883,0,11.46981812,16,92,92,24,1,17.74815178,2,0
1998,22.90381241,0,12.42160225,17,99,99,26,2,17.63113594,2,0
1999,25.63313103,0,11.63443441,18,100,100,23,3,20.28176445,3,0
2000,35.70682907,2,11.26700974,17,93,93,20,6,23.37212082,3,0
2001,29.13948441,0,12.00613518,18,81,81,25,10,25.46540359,3,0
2002,24.99191284,0,11.93241243,18,75,75,25,1,16.64751625,2,0
2003,25.0827446,0,12.30431576,18,87,87,25,6,21.18675175,3,0
2004,20.81320381,0,10.09047718,18,88,88,18,1,16.03003548,3,0
2005,29.53713036,0,11.61330929,18,83,83,19,4,24.8913908,3,0
2006,29.77357101,0,12.15197353,18,91,91,24,3,19.73745697,3,0
2007,37.2685318,2,12.98561907,18,86,86,26,7,23.76282429,3,0
2008,27.68659019,0,14.52859073,18,98,94,32,6,23.05408449,3,0
2009,22.38803864,0,10.62444105,18,85,85,19,2,17.57492447,3,0
2010,29.12696075,0,11.17853746,18,86,85,22,3,21.50374546,3,0
2011,21.71381569,0,10.08064556,17,88,88,20,2,18.37832291,3,0
2012,24.13476563,0,12.71610684,18,107,106,37,3,19.37978292,3,0
2013,27.80770874,0,10.02770462,18,78,78,18,3,20.56771942,3,0
2014,23.88616562,0,11.22442627,17,99,96,24,3,19.86003117,3,0
