Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,16.78348923,0,3.562470913,17,37,33,6,0,11.64354912,3,0
1984,16.70065689,0,1.232337958,18,29,21,2,0,5.524619064,3,0
1985,17.25343513,0,4.155343533,17,39,33,2,0,9.892424927,3,0
1986,24.0226059,0,4.30815649,17,34,34,6,1,12.59525541,3,0
1987,26.97094917,0,3.692808962,18,44,37,8,4,20.82352066,2,0
1988,26.26073456,0,4.796308589,18,55,53,6,1,16.89127159,1,0
1989,19.65467834,0,6.332872868,17,44,43,3,0,11.5879027,3,0
1990,20.49713898,0,2.956765366,18,36,36,3,1,10.04539555,3,0
1991,21.75549316,0,3.427480221,17,34,32,2,1,8.91459259,3,0
1992,17.94930458,0,5.959743094,18,44,43,3,0,9.990753517,3,0
1993,17.90116882,0,5.684191465,18,42,38,9,0,12.98268541,3,0
1994,29.52957153,0,6.075726986,17,38,37,9,2,15.24119753,3,0
1995,34.12108231,1,6.080787611,18,46,46,7,1,14.33540495,3,0
1996,24.42037392,0,3.41496594,18,36,36,3,1,10.52006376,3,0
1997,18.02956009,0,5.878574371,17,63,55,10,0,15.26751333,3,0
1998,25.96024704,0,6.515559435,18,48,45,14,1,19.5299234,3,0
1999,30.13283157,1,6.87216568,17,46,41,12,3,20.83081047,3,0
2000,13.25849915,0,4.070571923,18,42,42,2,0,8.593842354,3,0
2001,36.39664459,1,6.418787479,18,38,38,10,2,19.03110695,2,0
2002,11.92838955,0,2.861427546,17,32,32,2,0,7.616118603,3,0
2003,33.90217972,1,8.568969297,18,41,41,17,2,17.19139748,3,0
2004,7.867305756,0,3.331234932,16,38,38,0,0,6.392511292,3,0
2005,22.21222687,0,3.849333835,18,42,39,3,1,10.36218023,3,0
2006,15.16656303,0,4.212113857,17,42,34,4,0,10.67821121,3,0
2007,17.09350967,0,8.350146294,17,39,35,10,0,16.76819229,2,0
2008,16.54833221,0,4.390875816,17,50,47,4,0,10.76743295,3,0
2009,13.07301044,0,2.927627397,18,37,34,2,0,8.12192482,3,0
2010,20.36844444,0,5.804814816,16,45,40,5,1,15.36956011,3,0
2011,36.95449066,1,6.017450237,18,41,41,8,1,15.52320419,3,0
2012,24.00898552,0,6.399328923,18,46,44,12,1,13.88584968,3,0
2013,28.11751366,0,3.767825961,18,35,35,5,1,13.73579191,3,0
2014,20.88870811,0,8.392462349,18,52,46,15,1,18.91303139,3,0
