Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,33.41053009,1,10.67622137,18,70,65,19,3,20.12540874,3,0
1984,27.33448219,0,7.116788554,18,59,53,8,3,19.87078966,3,0
1985,33.41256332,1,10.47911482,18,81,75,22,6,23.07764748,3,0
1986,27.76173973,0,9.253912926,17,64,62,17,3,18.96341835,3,0
1987,37.32278061,1,8.365420246,18,81,76,14,2,16.42639244,3,0
1988,36.30379868,1,12.85423255,18,93,93,29,4,21.28002167,1,0
1989,27.24048233,0,11.70264969,18,81,79,22,4,20.79124733,3,0
1990,24.3049984,0,6.087275362,18,61,61,9,1,15.8333287,3,0
1991,19.72011375,0,7.073177052,18,62,62,9,0,13.87842367,3,0
1992,37.38259506,1,11.60398197,17,68,68,22,6,22.90026388,3,0
1993,31.62474823,1,10.46967869,18,84,84,22,3,20.27007416,3,0
1994,21.5742569,0,9.856084824,18,66,66,17,3,20.52477875,3,0
1995,27.75650406,0,9.22359848,19,82,82,14,3,18.68762253,3,0
1996,19.98000526,0,10.70468187,18,81,81,25,0,16.13860324,3,0
1997,24.75885391,0,12.24955587,18,83,83,25,2,19.37080574,2,0
1998,44.17408752,1,9.694245338,18,72,71,15,3,20.90417881,3,0
1999,29.28715706,0,12.41333675,17,86,86,29,5,23.03181496,3,0
2000,33.0901413,1,10.04511251,18,79,77,18,4,22.49081856,3,0
2001,30.18292999,2,10.35595045,18,74,74,21,6,22.66824528,3,0
2002,34.12654877,1,10.53855009,18,72,71,18,5,22.75103378,2,0
2003,50.53800201,3,11.78414059,17,74,73,24,9,27.8044915,3,0
2004,29.19094276,0,7.811765599,18,74,74,12,1,12.89270721,3,0
2005,32.99764252,2,9.5479702,18,79,79,17,4,23.08736755,3,0
2006,30.79930878,1,12.06555367,18,79,79,24,8,26.77368687,3,0
2007,47.84370422,2,12.5875102,18,72,71,26,5,24.79806248,3,0
2008,30.27002335,1,8.878460598,18,88,88,16,2,17.80412926,3,0
2009,20.62199974,0,7.566959858,17,64,64,9,1,14.59851675,3,0
2010,27.71307755,0,14.25836754,17,68,68,25,6,23.61973679,3,0
2011,22.47226334,0,8.93783865,18,67,67,12,1,15.75618004,3,0
2012,25.87000465,0,11.72757816,18,98,97,26,2,18.87235674,3,0
2013,26.97551346,0,8.182188034,17,62,62,10,7,23.34682465,3,0
2014,30.07577324,1,10.16544266,18,86,84,19,3,20.37382854,3,0
