Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,17.90218163,0,5.386304951,18,44,34,6,0,14.4689093,3,0
1984,12.57837009,0,3.158981836,18,34,29,3,0,9.292532272,3,0
1985,28.20710564,0,8.752801895,16,46,46,12,2,18.71392513,3,0
1986,18.53693962,0,6.609733486,18,46,46,10,0,14.48509499,3,0
1987,24.7388649,0,5.921926498,17,60,55,7,1,13.83913578,3,0
1988,29.98566628,0,9.621609592,18,76,70,16,4,22.86703074,3,0
1989,15.38083744,0,8.922601795,18,59,59,15,0,13.37306744,3,0
1990,37.01901627,3,8.083648157,18,42,41,11,3,22.72562798,3,0
1991,33.95765686,1,10.75753365,18,63,63,18,5,20.99669125,3,0
1992,19.95817184,0,9.981202841,18,55,54,18,0,17.16348669,3,0
1993,32.82424164,2,9.054400253,18,63,61,16,3,19.20533913,3,0
1994,33.95147705,1,11.77229595,17,65,64,24,2,17.17928253,3,0
1995,24.07730675,0,10.13669777,17,70,70,19,2,18.85373497,2,0
1996,13.49349976,0,6.056105614,17,56,55,5,0,11.11996651,2,0
1997,27.08876991,0,10.19660158,18,66,65,19,1,18.79656769,3,0
1998,24.91702652,0,10.67031002,17,63,63,24,2,18.30810177,3,0
1999,34.30582809,1,10.65628242,18,70,69,22,2,17.34737148,3,0
2000,21.12339783,0,6.711125469,18,56,55,14,1,16.71168095,3,0
2001,20.95631409,0,10.75617313,17,65,64,22,1,19.2934227,1,0
2002,38.93871307,1,9.138948727,18,59,58,17,2,16.6849358,3,0
2003,37.0415535,1,12.23689728,18,75,74,26,7,23.89659943,3,0
2004,18.91146088,0,7.949228287,17,53,53,9,0,13.0414696,3,0
2005,40.8204422,1,12.09968605,18,63,63,22,3,21.66378036,3,0
2006,32.43996048,1,9.951565933,18,66,62,18,4,23.96226231,3,0
2007,23.3319931,0,6.795893335,18,60,60,9,2,15.96303976,3,0
2008,12.18556595,0,5.358597755,17,67,66,3,0,9.275933571,3,0
2009,21.36742401,0,10.03495998,18,63,62,18,3,17.43982681,3,0
2010,40.66836548,3,10.19196415,17,68,67,23,7,25.46508446,3,0
2011,15.92169762,0,7.192620277,17,57,57,10,0,14.35878944,2,0
2012,21.09829521,0,10.48548617,18,80,78,20,1,15.43758519,3,0
2013,15.34369659,0,7.42441802,18,64,62,13,0,14.67952116,3,0
2014,29.98773003,0,10.56387329,16,69,68,20,3,20.91681419,3,0
