Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,31.4177475,1,5.838867188,16,36,33,10,5,21.87382896,3,0
1984,25.09606361,0,2.75609889,18,50,42,3,1,10.32778313,3,0
1985,28.36604309,0,6.539456987,18,54,52,11,1,12.13361214,3,0
1986,19.25515556,0,5.508080482,18,54,53,5,0,13.41275711,3,0
1987,19.59091187,0,6.083933353,18,45,44,9,0,14.28530703,3,0
1988,25.75733757,0,6.548136258,18,56,51,9,2,15.9534311,3,0
1989,23.37932587,0,5.673813629,18,62,59,6,3,20.26948456,3,0
1990,11.76578045,0,4.931486368,18,39,38,2,0,8.75581625,3,0
1991,23.97435951,0,6.396662712,17,38,36,10,1,14.46827213,3,0
1992,27.94904137,0,7.646012759,18,65,58,13,2,16.23646927,2,0
1993,18.06209946,0,6.192453384,17,58,56,5,0,10.73631178,3,0
1994,19.64664841,0,7.785775661,17,50,50,13,0,13.72323208,3,0
1995,20.83521843,0,7.913231373,18,52,52,13,1,14.22130575,3,0
1996,31.64568329,1,6.949193478,17,49,47,8,1,18.31135633,3,0
1997,22.58236694,0,8.446453953,18,59,55,10,3,18.70764526,3,0
1998,17.40246773,0,8.433519363,17,58,56,13,0,14.72208824,3,0
1999,17.20388031,0,7.059038973,18,57,57,10,0,13.45244745,3,0
2000,13.95808315,0,7.293584824,17,46,42,7,0,13.38735621,3,0
2001,56.29307556,1,5.508127213,17,45,45,7,4,22.11524147,3,0
2002,23.07692528,0,6.732606602,18,54,54,13,1,18.07420921,2,0
2003,26.10392189,0,7.035999441,18,58,55,9,1,13.81720633,3,0
2004,18.89210129,0,4.254337907,18,52,45,3,0,10.06909179,3,0
2005,17.10689545,0,6.533083153,18,54,52,5,0,14.35443836,3,0
2006,17.96039009,0,5.817539597,18,66,64,4,0,11.73791023,3,0
2007,23.64201927,0,9.34126358,18,50,50,13,4,22.50119019,2,0
2008,30.87708664,1,5.107987285,18,59,50,3,2,10.19762606,3,0
2009,19.644104,0,4.936979723,18,50,48,5,0,11.77708071,3,0
2010,24.48034477,0,7.69349618,18,56,53,8,1,15.68192661,3,0
2011,21.50250053,0,7.257485628,18,52,52,7,1,15.60537567,3,0
2012,39.32260513,1,6.472997665,17,52,48,10,3,18.23670923,3,0
2013,21.43340302,0,6.145923615,18,61,61,9,2,16.50227053,3,0
2014,29.32900429,0,7.513639259,18,66,59,14,3,20.9340274,3,0
