Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,13.30589199,0,2.874693871,18,39,36,7,0,12.10640585,3,0
1984,10.94649792,0,1.557508278,18,30,21,2,0,9.536884708,3,0
1985,19.87965965,0,3.34710145,16,38,32,4,0,11.81771469,2,0
1986,18.16243553,0,5.896992826,18,40,37,7,0,14.77398308,3,0
1987,15.33820057,0,4.605109024,18,50,47,4,0,10.60511404,3,0
1988,32.28639984,1,5.404775238,18,53,50,7,1,13.4320715,3,0
1989,19.48607445,0,4.945903063,18,42,41,1,0,8.548782921,3,0
1990,11.11546135,0,2.333355248,18,21,21,1,0,6.892827835,3,0
1991,13.30294418,0,2.379605031,18,23,23,1,0,5.689672165,3,0
1992,16.42320251,0,5.548739862,18,42,42,5,0,10.72149099,3,0
1993,8.893490791,0,4.783825397,18,47,47,0,0,8.32288929,3,0
1994,11.76745224,0,4.903422451,18,41,39,4,0,10.62643492,3,0
1995,14.36299801,0,4.913227797,18,53,53,6,0,11.96039309,3,0
1996,17.34105492,0,3.534233093,17,47,41,4,0,10.41460979,3,0
1997,14.28398514,0,4.803629351,18,53,53,5,0,10.23074255,3,0
1998,18.77297783,0,6.007401371,18,42,39,4,0,11.13713249,3,0
1999,16.11017227,0,5.156419086,18,45,45,8,0,12.3017609,3,0
2000,16.34798813,0,4.278827667,17,47,44,4,0,11.08974083,3,0
2001,18.71178818,0,5.545536566,18,43,40,4,0,12.14876795,3,0
2002,18.66309166,0,4.147474051,18,37,36,7,0,13.33473076,3,0
2003,19.87649918,0,6.193043709,16,40,40,5,0,13.0514085,3,0
2004,21.3447094,0,2.630474305,18,39,38,3,1,9.574719753,3,0
2005,21.43161774,0,5.503288031,18,49,48,6,1,11.82348824,2,0
2006,21.83342552,0,4.289942503,18,43,38,6,1,12.49561474,3,0
2007,33.02712631,1,6.349856424,18,41,41,4,2,12.37639902,3,0
2008,12.39446163,0,4.326495123,18,44,40,1,0,7.861896944,3,0
2009,12.67766476,0,2.775677204,17,26,26,3,0,9.925924416,3,0
2010,12.90722275,0,5.173784781,18,45,45,3,0,10.11691591,3,0
2011,10.45011139,0,2.977230668,18,35,32,1,0,8.95063591,3,0
2012,15.7155714,0,5.92053721,18,40,39,4,0,11.70363503,3,0
2013,32.79488373,1,2.917226648,18,35,33,1,1,6.452221632,3,0
2014,10.41565609,0,3.871289015,17,66,62,1,0,7.411054478,3,0
