Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,34.63368225,1,6.135793543,18,41,38,9,2,17.62603485,3,0
1984,17.36499786,0,2.650273287,18,35,31,7,0,13.87727731,3,0
1985,24.16693878,0,7.969822884,17,53,49,12,1,15.2571769,3,0
1986,28.41476631,0,5.173691463,18,45,43,6,1,11.61350899,3,0
1987,19.73347855,0,4.874243259,17,52,50,5,0,17.24312466,3,0
1988,36.83938599,1,9.096457481,17,50,46,16,6,23.13977598,3,0
1989,18.67241669,0,7.552925158,18,59,58,14,0,13.21026897,3,0
1990,28.50302887,0,6.802606201,18,47,47,10,1,15.77541004,3,0
1991,23.18440437,0,5.736315727,18,51,48,8,1,17.34718056,3,0
1992,15.2726984,0,5.948032856,17,54,52,9,0,12.952012,3,0
1993,13.83748055,0,5.013370514,17,65,63,3,0,10.57788342,3,0
1994,33.61647034,1,7.454668045,16,51,51,10,1,14.16635715,3,0
1995,15.44851589,0,5.750330925,17,57,56,11,0,13.65294256,3,0
1996,38.17036057,1,6.053200293,18,55,55,4,1,10.74933059,3,0
1997,21.93558884,0,6.848059082,18,59,54,10,2,14.87290691,3,0
1998,21.38160515,0,7.427030087,17,55,54,13,2,18.61499733,3,0
1999,25.41836739,0,8.901212311,18,58,57,11,2,17.47858128,3,0
2000,29.90895462,0,7.912040234,17,57,56,13,4,20.90019793,3,0
2001,25.53037262,0,6.658956814,18,54,51,8,1,14.36840332,3,0
2002,19.34652901,0,4.934566975,17,57,56,6,0,11.36647461,3,0
2003,36.30234909,1,8.474163055,18,69,68,16,4,21.31318001,3,0
2004,21.42354584,0,9.636070299,18,54,50,17,2,19.41875511,3,0
2005,40.14202499,2,9.651950169,18,49,49,16,4,22.98299984,3,0
2006,42.72886658,1,9.671641922,18,55,55,15,2,18.24464031,3,0
2007,15.96746159,0,6.997609329,18,51,51,16,0,12.72925661,3,0
2008,9.488498688,0,3.806132472,18,57,52,0,0,8.290806046,3,0
2009,21.85378265,0,6.517130136,18,49,48,7,2,16.09149019,3,0
2010,51.54909134,1,7.294596195,17,62,58,13,1,15.81130924,3,0
2011,24.87804413,0,8.209235954,18,56,54,10,1,17.21247849,3,0
2012,27.62489319,0,7.901613712,17,68,66,10,1,12.94214557,3,0
2013,32.93630981,1,6.651205826,18,56,55,9,4,24.59806355,3,0
2014,18.28317833,0,7.406905651,17,56,55,5,0,13.96980587,3,0
