Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,5.471223354,0,0,9,5,2,0,0,0.383919891,3,0
1984,10.7968483,0,0,4,4,4,1,0,5.63318469,3,0
1985,18.03827667,0,0,17,17,10,3,0,8.330053749,3,0
1986,4.828575134,0,0,11,11,11,0,0,4.397704124,2,0
1987,6.733902931,0,0,17,15,9,0,0,3.979383936,3,0
1988,14.08197212,0,0,8,8,5,1,0,5.266194673,3,0
1989,17.84249306,0,0,8,8,6,2,0,5.301531258,3,0
1990,6.930385113,0,0,8,8,8,0,0,5.593305025,3,0
1991,8.61320591,0,0,11,11,8,0,0,5.774793148,2,0
1992,24.93585014,0,0,14,14,11,4,3,17.5794199,3,0
1993,9.448578835,0,0,15,15,10,0,0,4.140366077,2,0
1994,12.97750759,0,0,12,12,7,1,0,3.565660677,3,0
1995,7.645804882,0,0,11,11,8,0,0,5.310410385,3,0
1996,38.42936325,1,0,12,10,5,1,1,2.549520633,3,0
1997,14.61693668,0,0,14,13,10,3,0,7.600879078,3,0
1998,13.50553513,0,0,8,8,1,1,0,0.56385515,3,0
1999,14.89481831,0,0,7,7,6,1,0,4.094085107,3,0
2000,11.84003162,0,0,15,15,11,2,0,8.631520443,3,0
2001,14.64772797,0,0,7,7,5,1,0,5.065770464,3,0
2002,6.762505054,0,0,5,5,4,0,0,5.170153408,3,0
2003,16.71633148,0,0,2,2,2,1,0,0,2,0
2004,4.353366375,0,0,5,5,5,0,0,4.096838994,3,0
2005,4.576047897,0,0,12,12,3,0,0,1.181501566,3,0
2006,8.047632217,0,0,11,11,5,0,0,4.539781828,3,0
2007,4.880302429,0,0,3,3,3,0,0,0.414437985,3,0
2008,4.723278522,0,0,6,6,4,0,0,2.292835099,3,0
2009,7.812720299,0,0,7,7,4,0,0,2.993900781,3,0
2010,15.77750301,0,0,12,12,6,1,0,2.448909802,3,0
2011,4.512310028,0,0,4,4,4,0,0,1.178383026,3,0
2012,6.465292931,0,0,8,8,7,0,0,3.89053422,3,0
2013,7.373245716,0,0,10,10,9,0,0,6.087926474,3,0
2014,31.31923485,1,0,9,9,5,2,1,6.483635569,3,0
