Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,55.00839996,1,5.449984646,18,55,52,5,1,12.63421301,3,0
1984,28.07525826,0,3.652712822,16,42,38,3,3,12.69089744,3,0
1985,25.31191444,0,6.763484955,18,59,55,11,4,23.39472061,3,0
1986,22.58403587,0,7.75958395,18,49,47,12,2,15.30757118,3,0
1987,29.18563652,0,5.88840971,18,62,60,8,4,21.8894379,3,0
1988,40.88397598,2,11.63677173,18,74,70,21,4,22.01966377,3,0
1989,20.9851532,0,10.13733139,18,64,63,18,1,17.24333076,3,0
1990,15.67584133,0,5.196142197,15,50,50,3,0,10.72582514,3,0
1991,19.51241875,0,4.911826658,18,50,49,3,0,10.12229462,3,0
1992,28.15761566,0,8.067941785,18,54,51,15,2,18.3705784,3,0
1993,18.51909256,0,6.319894314,17,67,63,8,0,13.96391157,3,0
1994,23.5308876,0,8.29374032,18,53,53,10,1,13.68399429,2,0
1995,29.24806404,0,8.01842308,17,65,63,16,5,22.9708321,3,0
1996,16.24181557,0,6.513932323,18,69,68,8,0,12.07790388,3,0
1997,19.76584435,0,6.3308218,18,67,67,10,0,11.99163857,3,0
1998,20.36854744,0,8.842917347,18,58,57,15,4,20.02000046,2,0
1999,25.84789658,0,9.512558079,18,68,66,16,4,21.11000942,3,0
2000,22.14155769,0,7.566081214,18,58,58,13,2,17.51679144,3,0
2001,22.63038063,0,6.877055311,18,55,55,11,2,19.40014076,2,0
2002,20.51805878,0,6.72539773,18,50,50,9,1,16.69778713,3,0
2003,30.92742729,1,8.883079529,17,54,54,10,1,15.35795403,2,0
2004,15.06711674,0,5.256859493,18,60,59,3,0,9.271836777,3,0
2005,19.03046036,0,6.353741169,17,64,63,10,0,14.59204353,3,0
2006,17.46243858,0,7.059145451,17,65,63,10,0,13.98811743,3,0
2007,39.64173126,2,7.921217489,18,61,61,13,4,25.10909557,3,0
2008,13.95715809,0,6.069616914,18,72,69,2,0,9.488630819,3,0
2009,28.48462868,0,6.160172701,18,53,53,8,2,17.78131813,3,0
2010,21.06994247,0,7.265874195,18,62,62,13,1,15.61634541,2,0
2011,21.16949081,0,8.346968651,17,56,56,14,2,18.19457817,2,0
2012,21.68991852,0,9.873030472,18,76,75,18,3,18.70560734,3,0
2013,34.55869675,1,5.7519207,17,52,49,11,2,17.60460152,3,0
2014,22.55890083,0,8.943440819,18,74,70,11,1,17.06431263,3,0
