Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,7.254333973,0,0,14,14,13,0,0,3.343882055,3,0
1984,7.045242786,0,0,13,13,8,0,0,3.670501537,3,0
1985,12.2876997,0,0.188352692,18,18,15,1,0,3.750591702,3,0
1986,10.04531384,0,0,16,16,16,1,0,7.163754034,3,0
1987,19.47171974,0,1.43891573,18,21,20,2,0,6.542603302,3,0
1988,33.34354782,1,5.593334246,18,45,41,9,3,15.53809341,3,0
1989,7.000849247,0,1.99888165,18,32,25,0,0,5.837685213,3,0
1990,8.281538963,0,0,12,12,12,0,0,2.578091187,3,0
1991,12.93746758,0,0,15,15,15,1,0,4.231805286,3,0
1992,14.24396896,0,1.987226725,17,20,20,5,0,11.2673021,3,0
1993,9.51493454,0,1.615368605,18,20,20,0,0,4.601358747,3,0
1994,17.94171333,0,3.005246186,18,23,23,3,0,11.05519022,3,0
1995,13.97082329,0,4.975944853,18,30,30,2,0,8.795437946,3,0
1996,10.36221313,0,3.391870689,18,28,28,1,0,8.310466776,3,0
1997,11.64374828,0,2.310600996,17,22,22,3,0,7.397480021,3,0
1998,10.9765358,0,3.904866195,18,31,31,1,0,7.936329193,3,0
1999,7.721311092,0,3.112646127,18,36,36,0,0,6.687400751,3,0
2000,10.18810558,0,1.496430731,18,20,20,1,0,4.209168396,3,0
2001,21.56491661,0,3.331187963,18,30,28,2,1,7.950213585,3,0
2002,13.74103546,0,1.348154175,18,20,20,2,0,6.621938581,3,0
2003,12.19562817,0,3.240146542,18,28,28,2,0,8.880807858,3,0
2004,8.979065895,0,1.264961004,17,20,20,0,0,7.443327723,3,0
2005,11.40777874,0,2.074591589,18,29,26,1,0,8.262194939,3,0
2006,9.969648361,0,3.056915998,16,23,23,0,0,9.046039581,2,0
2007,14.07794189,0,3.472719216,18,26,26,4,0,10.75317764,2,0
2008,9.552948952,0,2.482987642,17,30,27,0,0,4.477084212,3,0
2009,19.49137878,0,0,16,16,15,4,0,13.18350063,3,0
2010,8.505556107,0,2.262203455,16,29,23,0,0,7.864454269,4,0
2011,16.85472107,0,0,17,17,15,2,0,6.128866949,3,0
2012,12.73550701,0,3.008676541,18,22,21,2,0,8.831545343,3,0
2013,20.45103264,0,1.213935983,18,20,20,1,1,5.813307819,3,0
2014,12.30908394,0,3.408590555,17,27,24,3,0,9.755898228,3,0
