Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,77.84540558,1,7.599074841,18,60,58,14,3,18.43439983,3,0
1984,35.58381271,1,5.351676917,18,42,37,7,4,21.02379881,3,0
1985,29.53728485,0,7.942749882,18,62,60,11,4,22.46188091,3,0
1986,37.85815811,2,8.427999973,18,53,52,17,5,23.310658,3,0
1987,39.08610535,3,9.121863842,18,69,68,14,5,28.95627739,3,0
1988,39.79395294,1,11.04668856,18,83,81,22,5,20.24988682,3,0
1989,35.95405197,1,12.10430012,18,73,71,24,6,23.98116375,3,0
1990,22.50650978,0,6.580086231,16,62,62,5,1,12.77356714,3,0
1991,21.61904526,0,7.280519009,15,65,64,6,1,14.41269684,2,0
1992,29.80306053,0,8.936637402,18,64,64,12,2,16.14231937,3,0
1993,37.7741127,2,10.93712416,18,70,68,19,6,24.30639961,3,0
1994,36.47587204,1,11.32221317,17,57,57,20,6,22.88460274,3,0
1995,34.32685852,1,10.7739296,17,70,70,19,2,18.80732697,3,0
1996,21.50323296,0,10.11754899,18,73,73,18,1,17.03199614,3,0
1997,22.98147392,0,8.6447752,18,74,73,15,1,15.19159611,3,0
1998,30.39469337,1,10.06259289,18,71,71,18,2,19.59833885,3,0
1999,32.39322281,1,9.687413311,18,71,71,17,2,19.00533176,3,0
2000,39.6579628,2,10.49469867,18,70,69,18,3,22.11297388,3,0
2001,36.74481583,1,10.37484055,18,65,64,18,5,22.56447777,3,0
2002,28.4808712,0,7.38665204,18,55,55,8,2,17.88089783,3,0
2003,29.26298904,0,8.5916996,17,63,63,15,2,18.9215493,3,0
2004,16.98350716,0,6.483221531,17,69,68,8,0,13.43313538,3,0
2005,20.41020966,0,9.398486805,18,60,60,14,1,16.72880554,2,0
2006,25.50983238,0,9.120276356,18,69,66,17,3,19.43400269,3,0
2007,39.71856308,1,16.25697861,18,61,61,26,4,25.66217133,3,0
2008,21.54297638,0,7.704189086,18,89,84,11,1,15.81487501,3,0
2009,26.56653404,0,8.664595604,17,58,58,9,1,14.9139855,3,0
2010,32.01098251,2,9.361421204,18,78,78,16,3,19.92787964,3,0
2011,20.61111069,0,10.30951538,18,61,61,19,4,20.03408825,3,0
2012,34.4636879,2,11.66421666,18,81,81,23,3,19.92430689,3,0
2013,49.13943863,2,9.165793419,18,64,64,17,5,22.09776497,2,0
2014,31.34891701,1,11.13855286,18,81,79,22,2,18.21163097,3,0
