Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,9.457386971,0,5.131215572,16,48,41,0,0,8.057179337,3,0
1984,20.99204445,0,3.139556694,18,33,26,3,1,9.218398132,3,0
1985,28.92969322,0,7.154854059,18,53,48,10,5,21.9861227,3,0
1986,30.74821854,1,5.298659801,16,37,37,8,1,13.26913965,3,0
1987,22.34410667,0,4.597582865,18,54,54,7,2,14.58810001,3,0
1988,13.8182478,0,6.599662304,16,67,57,7,0,13.19932461,2,0
1989,11.85297203,0,5.811312199,18,56,55,1,0,8.664671516,3,0
1990,10.71712971,0,3.292866707,17,42,41,1,0,7.298286419,3,0
1991,10.85047817,0,3.719046831,17,32,32,1,0,8.142844791,3,0
1992,22.02959442,0,5.58716774,17,39,39,8,1,13.33836365,2,0
1993,10.99308109,0,4.228783226,18,59,58,1,0,7.922109547,3,0
1994,19.30055428,0,4.893745613,18,42,42,7,0,13.40114994,3,0
1995,23.19748306,0,8.368307114,17,63,63,12,3,17.92215052,3,0
1996,11.83124352,0,5.394776702,18,56,55,4,0,11.377785,3,0
1997,17.51056671,0,6.272923946,17,59,59,7,0,14.05034351,2,0
1998,26.28323364,0,7.624222755,17,46,46,11,1,17.13743103,3,0
1999,30.11745453,1,7.495227575,18,62,61,14,4,21.65175201,3,0
2000,14.5324955,0,5.036490941,18,54,52,3,0,9.24238596,3,0
2001,24.3753109,0,4.414338636,18,49,49,2,1,9.575597763,2,0
2002,16.96888733,0,6.150979996,18,45,45,7,0,11.20408308,3,0
2003,20.49884987,0,7.485953856,18,44,44,13,1,12.40247971,3,0
2004,13.75254154,0,4.761812949,18,46,46,5,0,11.55405097,3,0
2005,17.9542942,0,5.273106289,18,57,57,3,0,10.78355019,3,0
2006,20.88463783,0,6.136307001,18,48,48,7,1,12.0416744,3,0
2007,18.83017159,0,7.3458498,18,54,54,8,0,11.70997032,3,0
2008,10.09200668,0,4.380008912,18,60,58,2,0,9.591409836,3,0
2009,30.02127075,1,5.325725365,18,44,43,11,5,25.33763885,2,0
2010,14.96091843,0,6.050653267,18,49,49,3,0,9.985307636,3,0
2011,43.12937927,1,5.43872304,18,32,32,5,1,12.79838949,3,0
2012,13.34119606,0,6.702552032,18,59,59,9,0,12.22705078,2,0
2013,23.64801025,0,4.404101181,18,47,45,3,2,11.91970589,3,0
2014,17.65134621,0,6.23812151,17,60,59,6,0,11.25800991,2,0
