Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,0.879999995,0,0.026999999,18,9,0,0,0,0.395000002,3,0
1984,0.180000007,0,0.01,13,4,0,0,0,0.100000001,2,0
1985,8.109999657,0,0.087000002,18,17,2,0,0,0.489399993,3,0
1986,0.670000017,0,0.097000002,18,18,0,0,0,0.256800004,3,0
1987,0.519999981,0,0.159999996,17,25,0,0,0,0.360000014,2,0
1988,3.089999914,0,0.236499998,18,29,2,0,0,0.785899985,3,0
1989,1.190000057,0,0,16,6,1,0,0,0.140000001,2,0
1990,0.159999996,0,0,14,2,0,0,0,0.0702,3,0
1991,8.340000153,0,0,9,4,2,0,0,0.230399999,3,0
1992,2.920000076,0,0,16,7,4,0,0,1.086500037,3,0
1993,10.22000027,0,0.01,12,10,5,1,0,1.542199962,3,0
1994,10.64000034,0,0.942000002,18,28,17,2,0,8.485400028,3,0
1995,3.609999895,0,0.177000006,18,21,6,0,0,2.221400027,3,0
1996,11.53999996,0,0.01,15,13,6,1,0,5.684999981,3,0
1997,4.059999943,0,0.386000001,18,27,12,0,0,3.238800092,3,0
1998,0.870000005,0,0,7,2,0,0,0,0.0302,3,0
1999,1.720000029,0,0,7,4,1,0,0,0.113399999,3,0
2000,0.409999996,0,0,5,1,0,0,0,0.0133,3,0
2001,6.150000095,0,0.795999998,18,24,15,0,0,1.683399985,3,0
2002,2.75,0,0.208000001,18,20,12,0,0,2.269999905,3,0
2003,10.85999966,0,1.673999953,18,33,25,1,0,2.635000114,3,0
2004,9.909999847,0,0.093,18,18,8,0,0,1.867999965,3,0
2005,13.05000019,0,0.452999988,18,27,12,2,0,6.886400032,3,0
2006,1.830000043,0,0.064,18,16,10,0,0,1.690000057,2,0
2007,21.43000031,0,0.029999999,17,15,6,1,1,1.620600004,3,0
2008,0.340000004,0,0,6,1,0,0,0,0.0133,3,0
2009,0.99000001,0,0,3,2,0,0,0,0.0068,3,0
2010,3.900000095,0,0.007,18,9,3,0,0,1.262400033,3,0
2011,2.369999886,0,0,6,4,1,0,0,0.333400003,3,0
2012,1.919999957,0,0,6,4,1,0,0,0.371800002,3,0
2013,62.38000107,1,0,10,7,3,2,2,1.16080001,3,0
2014,13.71000004,0,0.026999999,18,16,12,3,0,8.845600166,3,0
