Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,105.9300003,3,9.639999866,18,157,106,17,10,30.73860107,3,0
1984,77.51999664,4,11.96350017,18,124,76,21,10,31.14170025,3,0
1985,75.66000366,4,12.09400034,18,148,97,21,12,37.18740112,3,0
1986,57.79999924,2,8.600999832,18,109,68,15,7,26.36599941,3,0
1987,57.45999908,8,15.81400013,18,145,105,36,12,38.89159996,3,0
1988,111.0100021,1,9.148999691,18,124,85,17,5,24.44650021,3,0
1989,39.40999985,6,14.07899971,18,136,87,26,7,34.9141993,3,0
1990,51.77999878,2,10.52899981,18,103,66,20,6,23.71840046,3,0
1991,32.75,1,7.469000053,18,132,83,10,3,18.76559921,3,0
1992,25.54000092,0,6.18149991,18,112,73,10,1,12.50479991,3,0
1993,39.99000168,3,10.28399992,18,115,82,18,7,30.25319984,3,0
1994,36.04999924,4,10.47200031,18,121,77,18,6,30.4076004,3,0
1995,39.31000137,2,10.77700024,18,102,75,19,8,27.06240002,3,0
1996,55.15999985,3,12.76199999,18,118,79,24,12,31.8710001,3,0
1997,38.02999878,2,15.29600019,18,120,91,26,9,25.80980003,3,0
1998,105.8000031,5,9.024999905,18,121,72,16,8,31.20419933,3,0
1999,60.77999878,1,3.614000058,18,85,44,4,1,12.66099957,3,0
2000,101.9599991,3,8.803499794,18,136,72,17,9,29.2695999,3,0
2001,36.52999878,1,11.2420002,18,138,87,20,9,22.98539955,3,0
2002,80.37999725,2,9.196999931,18,108,70,17,2,18.42179993,3,0
2003,80.66999817,3,9.420999908,18,115,71,17,5,31.95340092,3,0
2004,82.5,10,16.30949955,18,138,98,25,13,53.96480122,3,0
2005,102.2399979,5,12.58999977,18,129,77,21,12,49.10620026,3,0
2006,122.3600006,9,13.38599987,18,149,94,24,11,74.81579727,3,0
2007,58.84000015,5,8.810999775,18,116,81,14,7,32.34039898,3,0
2008,41.20000076,4,10.92700014,18,139,85,19,8,31.09699919,3,0
2009,66.01000214,1,9.168999672,18,115,67,16,1,18.00079937,3,0
2010,27.02000046,0,8.479000282,18,116,83,13,3,18.44300022,3,0
2011,87.72000122,2,8.168000174,18,103,74,12,3,19.97040005,3,0
2012,58.41999817,4,11.23049994,18,120,93,21,9,32.86169949,3,0
2013,28.30999947,0,6.491000175,18,109,63,14,4,25.21740013,3,0
2014,41.36000061,4,14.58400002,18,148,78,27,8,37.24899956,3,0
