Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,14.43000031,0,0.784000009,18,52,14,2,0,3.126400042,3,0
1984,2.109999895,0,0.276500005,18,48,3,0,0,0.942799975,3,0
1985,3.309999943,0,0.484000006,18,79,8,0,0,1.865799971,3,0
1986,3.24000001,0,0.67700001,18,67,12,0,0,2.660200086,3,0
1987,5.480000019,0,0.937,18,67,16,0,0,3.303999949,3,0
1988,26.62000084,0,1.176499951,18,74,24,2,1,6.186799898,3,0
1989,6.159999847,0,1.339999998,18,54,26,0,0,5.056000032,3,0
1990,6.340000153,0,0.684999985,18,42,8,0,0,4.159399929,3,0
1991,11.68999958,0,0.493999979,18,34,14,1,0,3.946799974,3,0
1992,21.60000038,0,1.258499992,18,57,21,3,1,7.752699823,3,0
1993,43.38999939,2,2.472999954,18,40,29,5,2,14.799,3,0
1994,7.050000191,0,1.375999999,18,64,23,0,0,6.157399855,3,0
1995,33.04999924,1,1.767999983,18,47,22,6,3,19.56300003,3,0
1996,70.98999786,2,3.577499998,18,52,32,8,4,27.23190033,3,0
1997,14.27000046,0,0.622999984,18,51,15,1,0,3.039000044,3,0
1998,13.14000034,0,1.678999996,18,50,28,2,0,6.46999979,2,0
1999,3.039999962,0,0.209999993,17,26,2,0,0,0.827400006,3,0
2000,12.10999966,0,0.684500021,18,53,16,2,0,6.460400114,3,0
2001,9.5,0,2.61200006,18,74,31,0,0,6.524399986,3,0
2002,26.88999939,0,2.763999987,18,56,28,7,2,13.71680004,3,0
2003,13.14999962,0,3.090999913,18,66,37,1,0,8.676999912,3,0
2004,12.42000008,0,1.478499973,18,64,21,3,0,9.45390028,3,0
2005,23.09000015,0,3.084999919,18,55,33,2,1,9.229799709,3,0
2006,33.61000061,2,6.01099987,18,91,41,13,7,25.37140022,3,0
2007,50.31999969,1,3.297999954,18,64,32,4,2,13.59579985,3,0
2008,28.59000015,0,0.90099999,18,62,18,2,1,6.902400012,3,0
2009,16.89999962,0,1.041000026,18,46,18,3,0,9.277400208,3,0
2010,24.22999954,0,1.172000003,18,46,22,5,2,12.9695998,3,0
2011,6.079999924,0,0.56800001,18,38,11,0,0,3.70220005,3,0
2012,15.76000023,0,1.629499996,18,46,29,3,0,9.348200126,3,0
2013,17.77000046,0,0.808999985,18,39,15,1,0,6.019999981,2,0
2014,15.03999996,0,0.810000002,17,66,16,2,0,5.965000114,3,0
