Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,129.0899963,1,0.619000012,18,21,14,3,1,11.05879992,3,0
1984,10.84000015,0,0.02,17,14,5,1,0,3.12999995,3,0
1985,7.329999924,0,0.541000003,18,27,12,0,0,4.584800158,3,0
1986,10.96000004,0,0.255000009,18,18,15,2,0,9.368800125,3,0
1987,11.68999958,0,0.361000004,18,25,11,1,0,6.018199987,3,0
1988,16.63999939,0,2.132000029,18,76,34,2,0,9.598200064,3,0
1989,23.52000046,0,1.533000016,18,38,22,2,1,8.671599846,3,0
1990,10.38000011,0,0.51099999,18,35,10,1,0,5.356000147,3,0
1991,21.70999908,0,0.987999958,18,31,18,5,1,10.22700003,3,0
1992,24.23999977,0,1.976000094,18,39,29,6,1,13.33460031,3,0
1993,24.87999916,0,3.604000068,18,48,32,7,1,12.59220039,3,0
1994,36.25999832,1,3.011000085,18,48,25,8,1,13.45159998,3,0
1995,45.11000061,1,6.10500021,18,61,41,13,3,19.64060005,3,0
1996,38.68000031,1,4.528499889,18,62,36,13,5,22.05489939,3,0
1997,58.43999863,2,4.15899992,18,60,38,14,4,25.94259991,3,0
1998,35.41999817,2,3.189999986,18,36,25,5,2,16.4570002,3,0
1999,57.79999924,1,0.288000005,18,24,13,3,1,11.58060013,3,0
2000,29.45000076,0,1.280500022,18,39,18,3,1,7.419399977,3,0
2001,21.68000031,0,1.758999956,18,49,25,2,1,7.624199896,3,0
2002,79.34999847,1,3.752000093,18,45,29,7,3,15.7496002,3,0
2003,38.58000183,1,3.790999961,18,44,36,10,7,25.41460018,3,0
2004,46.68000031,2,1.939500016,18,49,22,6,3,22.20889914,3,0
2005,21.12999916,0,1.761999989,18,40,22,7,1,15.06959993,3,0
2006,57.86999893,5,8.895000172,18,56,32,18,10,36.67639992,3,0
2007,33.08000183,1,3.55599997,18,43,31,12,3,21.16580036,3,0
2008,59.25,1,1.050500008,18,35,18,5,1,12.90360023,3,0
2009,35.65000153,1,1.249999964,18,34,20,2,2,7.908600101,3,0
2010,42.79000092,1,4.552999878,18,45,34,5,3,19.09339924,3,0
2011,18.20999908,0,2.990999937,18,54,30,7,0,14.99159977,3,0
2012,46.15999985,1,6.247000146,18,41,29,12,7,24.64540041,3,0
2013,22.45000076,0,1.064000022,18,32,18,6,1,14.07300001,3,0
2014,24.44000053,0,6.068000031,18,66,35,10,2,16.1327998,3,0
