Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,51.86000061,5,17.57599964,18,153,83,30,13,40.86899918,3,0
1984,75.51000214,5,13.573,18,132,73,23,11,41.31030025,3,0
1985,90.69000244,5,16.79800034,18,152,94,32,11,34.66980011,3,0
1986,62.59000015,4,13.17399979,18,160,92,28,11,37.45739944,3,0
1987,39.41999817,2,11.30299978,18,156,84,22,7,29.02820053,3,0
1988,103.4499969,7,17.10849981,18,151,102,35,17,47.93400143,3,0
1989,54.93000031,4,16.85000019,18,168,89,27,16,39.74699974,3,0
1990,63.93999863,6,14.69900017,18,150,86,25,10,40.06520004,3,0
1991,82.44999695,6,13.8420001,18,178,120,30,10,40.21420036,3,0
1992,102.8099976,3,13.33199968,18,174,123,30,8,27.64929993,3,0
1993,69.83999634,7,13.029,18,171,113,25,9,48.23259926,3,0
1994,41.99000168,2,15.63099995,18,184,133,30,7,28.63599972,3,0
1995,54.59999847,7,13.44800005,18,205,128,29,12,38.61940102,3,0
1996,110.1699982,7,16.2135005,18,207,148,42,13,48.75770046,3,0
1997,44.79999924,9,22.23500004,18,182,117,35,19,38.7179998,3,0
1998,46.36000061,4,12.48400021,18,182,117,29,8,31.87340031,3,0
1999,95.37000275,4,13.00300035,18,186,110,22,11,37.25479858,3,0
2000,55.66999817,4,12.92050023,18,164,106,25,9,38.93169949,3,0
2001,60.88999939,3,13.63999996,18,210,131,32,8,31.7056002,3,0
2002,41.09000015,2,14.17499981,18,175,113,33,9,26.93780079,3,0
2003,51.34000015,5,14.34499979,18,183,122,32,10,33.80159988,3,0
2004,47.25,5,16.31050024,18,177,111,32,12,32.47580082,3,0
2005,43.95999908,5,13.44399996,18,163,112,27,11,36.31199883,3,0
2006,52.65999985,3,15.42300005,18,210,123,27,10,30.49259964,3,0
2007,85.87000275,5,14.00300035,18,182,122,30,11,42.15579941,3,0
2008,46.08000183,5,15.677,18,190,133,35,12,31.98309898,3,0
2009,56.68000031,5,12.30299988,18,195,123,32,9,43.52160057,3,0
2010,49.24000168,3,16.35599918,18,201,133,38,16,30.51119968,3,0
2011,55.56000137,5,15.44500017,18,206,129,31,9,35.2603997,3,0
2012,59.5,5,17.08349943,18,197,130,31,11,37.35230045,3,0
2013,53.52999878,2,14.7369997,18,190,116,31,9,24.74400059,3,0
2014,56.77000046,3,18.11900063,18,174,115,41,12,29.59359978,3,0
