Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,86,1,5.655999947,18,145,67,8,1,11.64399979,3,0
1984,15.17000008,0,3.996500003,18,147,58,2,0,7.997999835,3,0
1985,28.29999924,0,4.627999878,18,164,77,3,1,9.875599899,3,0
1986,14.93999958,0,4.35299983,18,146,70,5,0,11.37720028,3,0
1987,17.11000061,0,6.14199996,18,159,83,6,0,12.22400003,3,0
1988,23.20999908,0,6.483499932,18,140,94,6,1,15.47940018,3,0
1989,38.93000031,1,7.736000013,18,134,64,13,2,17.84120071,3,0
1990,35.56000137,1,3.667000008,18,110,51,5,2,11.47520002,3,0
1991,45.50999832,3,8.47699976,18,108,69,14,6,29.4516003,3,0
1992,47.52000046,2,10.91750021,18,107,75,19,8,28.20660028,3,0
1993,43.15999985,3,12.41099968,18,116,77,24,4,27.40120087,3,0
1994,29.67000008,0,11.64699984,18,118,75,23,6,21.83199993,3,0
1995,51.06000137,3,15.31099987,18,124,79,32,10,32.88039913,3,0
1996,55.41999817,4,11.91800013,18,126,81,22,7,37.78840122,3,0
1997,69.48000336,5,13.92599983,18,135,86,26,10,35.13060127,3,0
1998,47.08000183,4,13.51399975,18,114,73,22,9,33.32560032,3,0
1999,49.04999924,5,12.13300037,18,130,84,19,9,32.04700035,3,0
2000,61.40000153,2,7.426999831,18,113,75,13,4,27.58699959,3,0
2001,45.84999847,2,13.05300016,18,117,75,27,9,27.81780003,3,0
2002,61.52999878,4,13.57399979,18,115,71,28,10,34.80839985,3,0
2003,47.88000107,4,13.35600014,18,107,71,29,11,33.20979919,3,0
2004,41.88999939,5,13.64149995,18,126,79,23,10,36.4034,3,0
2005,74.69999695,4,14.41900024,18,119,79,25,9,40.39500122,3,0
2006,46.43999863,2,14.58299961,18,126,87,31,7,26.21099968,3,0
2007,68.66000366,4,11.96700029,18,112,97,24,6,32.38080021,3,0
2008,43.95000076,4,12.55149999,18,103,63,20,6,32.20919994,3,0
2009,44.18999863,3,8.989000034,18,97,71,15,6,29.76480042,3,0
2010,39.36999893,3,11.65000019,18,107,68,22,7,27.67580002,3,0
2011,33.66999817,1,14.93199997,18,100,62,23,7,22.50280064,3,0
2012,29.01000023,0,10.90499978,18,99,67,20,4,21.91660038,3,0
2013,46.68999863,4,13.89499998,18,113,72,22,10,32.81680035,3,0
2014,42.65999985,3,10.57399969,18,128,74,21,8,28.4843998,3,0
